"Year";"Fledglings";"Nonbreeding";"Breeding";"pairs_aa";"succ_aa";"mld_aa";"pairs_as";"succ_as";"mld_as";"pairs_ss";"succ_ss";"mld_ss"
1979;73;;;;;;;;;;;
1980;75;;;;;;;;;;;
1981;73;;;;;;;;;;;
1982;73;;;;;;;;;;;
1983;77;;;;;;;;;;;
1984;100;23;147;104;0.75;59.1;18;0.44;81;0;;
1985;92;;;43;0.67;59.7;7;0.43;82.5;0;;
1986;99;;;44;0.75;59.2;8;0.37;81.8;0;;
1987;90;31;143;98;0.71;56.8;26;0.42;79;0;;
1988;94;;;50;0.68;59.3;10;0.3;80.4;0;;
1989;102;18;174;109;0.67;55.5;33;0.39;78.8;0;;
1990;116;;;55;0.69;59.4;13;0.38;79.9;0;;
1991;124;26;201;133;0.7;56.6;38;0.39;79.2;0;;
1992;112;;;62;0.68;58.2;15;0.33;80;1;0;85
1993;153;;;70;0.76;56.4;18;0.28;77.6;0;;
1994;157;38;279;180;0.68;52.8;52;0.29;75;1;0;87
1995;134;61;275;175;0.6;48.2;51;0.24;71.8;2;0;83.5
1996;157;70;288;181;0.68;48.9;51;0.27;73;4;0;88.2
1997;167;69;290;180;0.71;51.1;55;0.27;71.1;5;0.2;93.3
1998;167;81;292;177;0.69;48.3;54;0.33;71.1;7;0;89
1999;182;55;338;193;0.64;49.9;65;0.37;71.2;8;0.38;94.4
2000;177;71;316;193;0.68;49;63;0.3;72.2;8;0.25;89.7
2001;194;64;334;222;0.68;49.2;64;0.31;73.6;3;0;91.3
2002;184;43;350;248;0.6;51.4;47;0.23;73.9;2;0;95.2
2003;198;63;367;282;0.6;52.7;33;0.24;74.2;1;0;95
2004;167;47;398;299;0.47;62;39;0.08;82.8;1;0;105
2005;150;56;416;311;0.4;62.2;46;0.13;84;1;0;105
2006;163;70;399;304;0.45;69.9;36;0.14;89.7;0;;
2007;120;64;383;301;0.34;72.3;26;0.12;89.7;0;;
2008;119;65;360;287;0.33;75.1;18;0.22;94.7;0;;
2009;138;65;355;288;0.4;77.7;15;0.13;97.9;0;;
2010;148;57;370;311;0.42;79.8;9;0.11;99.8;0;;
2011;158;66;373;312;0.44;79.2;9;0.22;99.6;0;;
2012;196;58;394;331;0.52;65.7;15;0.2;84.4;0;;
2013;201;68;460;387;0.45;64.9;12;0.25;83.9;1;0;99
2014;287;67;549;444;0.55;61;19;0.21;85.5;1;0;105
2015;277;75;555;445;0.52;57.1;23;0.26;79.1;0;;
2016;240;70;564;446;0.45;58;20;0.2;80;1;0;105
2017;294;74;581;450;0.53;55.5;22;0.28;77.7;1;0;105
2018;258;79;622;459;0.44;56.2;16;0.25;78;3;0;111.6
2019;293;80;630;427;0.52;55.5;38;0.18;80;5;0;105
2020;273;77;639;417;0.5;56.4;62;0.11;78.1;6;0;105.5
