"Iteration";"Year";"Type";"N"
"1";"1";"Simulation";"586"
"1";"2";"Simulation";"543.337234122577"
"1";"3";"Simulation";"524.767223045312"
"1";"4";"Simulation";"521.089721566226"
"1";"5";"Simulation";"516.999425235886"
"1";"6";"Simulation";"509.044242899968"
"1";"7";"Simulation";"509.798821468984"
"1";"8";"Simulation";"503.386757013347"
"1";"9";"Simulation";"490.377379089931"
"1";"10";"Simulation";"466.120479610881"
"1";"11";"Simulation";"470.389785974883"
"1";"12";"Simulation";"473.273568637858"
"1";"13";"Simulation";"470.937588181385"
"1";"14";"Simulation";"464.640008299107"
"1";"15";"Simulation";"445.992450680476"
"1";"16";"Simulation";"447.525273190486"
"1";"17";"Simulation";"449.161807795002"
"1";"18";"Simulation";"440.079243087815"
"1";"19";"Simulation";"425.439361385456"
"1";"20";"Simulation";"431.811624545511"
"1";"21";"Simulation";"427.296916305117"
"1";"22";"Simulation";"417.413122125499"
"1";"23";"Simulation";"417.279936448596"
"1";"24";"Simulation";"408.300061353401"
"1";"25";"Simulation";"404.255963626447"
"1";"26";"Simulation";"412.619539200715"
"1";"27";"Simulation";"401.165370644302"
"1";"28";"Simulation";"390.214660187107"
"1";"29";"Simulation";"386.44487135841"
"1";"30";"Simulation";"389.178071701807"
"1";"31";"Simulation";"373.490968090494"
"1";"32";"Simulation";"373.579639429998"
"1";"33";"Simulation";"376.677431965867"
"1";"34";"Simulation";"367.003196104914"
"1";"35";"Simulation";"364.838680474681"
"1";"36";"Simulation";"359.490813513328"
"1";"37";"Simulation";"355.397472813161"
"1";"38";"Simulation";"351.209802780554"
"1";"39";"Simulation";"337.951181699953"
"1";"40";"Simulation";"337.414935209026"
"1";"41";"Simulation";"337.572671677854"
"1";"42";"Simulation";"334.053101550367"
"1";"43";"Simulation";"343.472064368402"
"1";"44";"Simulation";"341.074914903428"
"1";"45";"Simulation";"330.411541722704"
"1";"46";"Simulation";"328.434528102362"
"1";"47";"Simulation";"324.200306486242"
"1";"48";"Simulation";"325.046132584995"
"1";"49";"Simulation";"316.849539541144"
"1";"50";"Simulation";"319.815990156842"
"1";"51";"Simulation";"316.812035810211"
"1";"52";"Simulation";"311.001653039067"
"1";"53";"Simulation";"308.016792493445"
