"Rate";"True_Value";"Posterior_fitted_Value"
"Fecundity";"0.465305814";"0.4630"
"Sub-adult survival";"0.855856088333333";"0.8653"
"Sub-adult recruitment";"0.144143910724267";"0.1347"
"Fledgling recruitment";"0.719588022333333";"0.7112"
"Adult survival";"0.991120044333333";"0.9902"
"Fecundity";"0.465305814";"0.4523"
"Sub-adult survival";"0.855856088333333";"0.8363"
"Sub-adult recruitment";"0.144143910724267";"0.1637"
"Fledgling recruitment";"0.719588022333333";"0.7247"
"Adult survival";"0.991120044333333";"0.9923"
"Fecundity";"0.465305814";"0.4827"
"Sub-adult survival";"0.855856088333333";"0.8539"
"Sub-adult recruitment";"0.144143910724267";"0.1461"
"Fledgling recruitment";"0.719588022333333";"0.6729"
"Adult survival";"0.991120044333333";"0.9899"
"Fecundity";"0.465305814";"0.4802"
"Sub-adult survival";"0.855856088333333";"0.8523"
"Sub-adult recruitment";"0.144143910724267";"0.1477"
"Fledgling recruitment";"0.719588022333333";"0.6619"
"Adult survival";"0.991120044333333";"0.9875"
"Fecundity";"0.465305814";"0.4705"
"Sub-adult survival";"0.855856088333333";"0.8540"
"Sub-adult recruitment";"0.144143910724267";"0.1460"
"Fledgling recruitment";"0.719588022333333";"0.7456"
"Adult survival";"0.991120044333333";"0.9900"
"Fecundity";"0.465305814";"0.4969"
"Sub-adult survival";"0.855856088333333";"0.8547"
"Sub-adult recruitment";"0.144143910724267";"0.1453"
"Fledgling recruitment";"0.719588022333333";"0.7856"
"Adult survival";"0.991120044333333";"0.9899"
"Fecundity";"0.465305814";"0.4802"
"Sub-adult survival";"0.855856088333333";"0.8590"
"Sub-adult recruitment";"0.144143910724267";"0.1410"
"Fledgling recruitment";"0.719588022333333";"0.6673"
"Adult survival";"0.991120044333333";"0.9884"
"Fecundity";"0.465305814";"0.4563"
"Sub-adult survival";"0.855856088333333";"0.8553"
"Sub-adult recruitment";"0.144143910724267";"0.1447"
"Fledgling recruitment";"0.719588022333333";"0.6781"
"Adult survival";"0.991120044333333";"0.9885"
"Fecundity";"0.465305814";"0.4631"
"Sub-adult survival";"0.855856088333333";"0.8831"
"Sub-adult recruitment";"0.144143910724267";"0.1169"
"Fledgling recruitment";"0.719588022333333";"0.6746"
"Adult survival";"0.991120044333333";"0.9853"
"Fecundity";"0.465305814";"0.4695"
"Sub-adult survival";"0.855856088333333";"0.8640"
"Sub-adult recruitment";"0.144143910724267";"0.1360"
"Fledgling recruitment";"0.719588022333333";"0.6448"
"Adult survival";"0.991120044333333";"0.9855"
"Fecundity";"0.465305814";"0.4717"
"Sub-adult survival";"0.855856088333333";"0.8449"
"Sub-adult recruitment";"0.144143910724267";"0.1551"
"Fledgling recruitment";"0.719588022333333";"0.7172"
"Adult survival";"0.991120044333333";"0.9911"
"Fecundity";"0.465305814";"0.4792"
"Sub-adult survival";"0.855856088333333";"0.8485"
"Sub-adult recruitment";"0.144143910724267";"0.1515"
"Fledgling recruitment";"0.719588022333333";"0.7098"
"Adult survival";"0.991120044333333";"0.9826"
"Fecundity";"0.465305814";"0.4720"
"Sub-adult survival";"0.855856088333333";"0.8577"
"Sub-adult recruitment";"0.144143910724267";"0.1423"
"Fledgling recruitment";"0.719588022333333";"0.7218"
"Adult survival";"0.991120044333333";"0.9881"
"Fecundity";"0.465305814";"0.4796"
"Sub-adult survival";"0.855856088333333";"0.8762"
"Sub-adult recruitment";"0.144143910724267";"0.1238"
