Iteration;Year;Type;Fledglings;Sub-adults;Adults
1;2002;Simulation;186;38;404
1;2003;Simulation;152;54;404
1;2004;Simulation;160;63;388
1;2005;Simulation;146;66;436
1;2006;Simulation;142;70;373
1;2007;Simulation;160;68;369
1;2008;Simulation;142;55;369
1;2009;Simulation;175;62;363
1;2010;Simulation;147;59;364
1;2011;Simulation;133;89;384
2;2002;Simulation;183;34;388
2;2003;Simulation;134;64;391
2;2004;Simulation;137;67;343
2;2005;Simulation;120;52;408
2;2006;Simulation;142;47;350
2;2007;Simulation;127;59;327
2;2008;Simulation;137;50;388
2;2009;Simulation;156;69;369
2;2010;Simulation;134;67;397
2;2011;Simulation;131;61;363
3;2002;Simulation;166;43;425
3;2003;Simulation;138;35;377
3;2004;Simulation;153;59;393
3;2005;Simulation;126;62;392
3;2006;Simulation;147;55;392
3;2007;Simulation;136;60;369
3;2008;Simulation;146;57;365
3;2009;Simulation;141;56;347
3;2010;Simulation;150;62;366
3;2011;Simulation;157;49;354
4;2002;Simulation;175;57;397
4;2003;Simulation;167;71;367
4;2004;Simulation;185;56;368
4;2005;Simulation;150;65;357
4;2006;Simulation;167;66;405
4;2007;Simulation;120;58;378
4;2008;Simulation;178;71;360
4;2009;Simulation;137;56;327
4;2010;Simulation;146;58;342
4;2011;Simulation;141;55;337
5;2002;Simulation;194;47;376
5;2003;Simulation;138;68;392
5;2004;Simulation;167;63;397
5;2005;Simulation;152;69;356
5;2006;Simulation;161;63;356
5;2007;Simulation;142;65;398
5;2008;Simulation;125;77;378
5;2009;Simulation;150;56;364
5;2010;Simulation;141;60;323
5;2011;Simulation;148;71;367
6;2002;Simulation;190;28;400
6;2003;Simulation;171;60;399
6;2004;Simulation;162;61;415
6;2005;Simulation;148;57;408
6;2006;Simulation;159;56;357
6;2007;Simulation;148;58;373
6;2008;Simulation;163;52;387
6;2009;Simulation;156;68;366
6;2010;Simulation;140;68;372
6;2011;Simulation;163;51;343
7;2002;Simulation;184;47;383
7;2003;Simulation;153;57;348
7;2004;Simulation;163;57;384
7;2005;Simulation;152;61;380
7;2006;Simulation;178;66;335
7;2007;Simulation;135;69;343
7;2008;Simulation;146;71;365
7;2009;Simulation;152;55;348
7;2010;Simulation;161;51;332
7;2011;Simulation;130;52;324
8;2002;Simulation;201;40;417
8;2003;Simulation;159;59;433
8;2004;Simulation;154;72;412
8;2005;Simulation;151;64;389
8;2006;Simulation;165;43;374
8;2007;Simulation;167;59;378
8;2008;Simulation;168;58;374
8;2009;Simulation;149;63;384
8;2010;Simulation;141;62;389
8;2011;Simulation;146;56;357
9;2002;Simulation;184;58;404
9;2003;Simulation;149;42;406
9;2004;Simulation;157;59;383
9;2005;Simulation;157;51;395
9;2006;Simulation;158;74;396
9;2007;Simulation;125;59;403
9;2008;Simulation;142;60;364
9;2009;Simulation;152;50;334
9;2010;Simulation;155;67;356
9;2011;Simulation;114;64;337
10;2002;Simulation;198;47;433
10;2003;Simulation;164;41;433
10;2004;Simulation;164;62;386
10;2005;Simulation;165;55;402
10;2006;Simulation;140;62;385
10;2007;Simulation;162;57;356
10;2008;Simulation;131;59;391
10;2009;Simulation;156;59;357
10;2010;Simulation;141;53;339
10;2011;Simulation;157;64;367
11;2002;Simulation;197;45;421
11;2003;Simulation;143;65;365
11;2004;Simulation;124;40;397
11;2005;Simulation;139;65;366
11;2006;Simulation;155;54;345
11;2007;Simulation;126;51;357
11;2008;Simulation;133;61;377
11;2009;Simulation;142;60;362
11;2010;Simulation;139;65;382
11;2011;Simulation;152;57;345
12;2002;Simulation;190;54;451
12;2003;Simulation;148;55;401
12;2004;Simulation;155;59;400
12;2005;Simulation;137;77;377
12;2006;Simulation;148;65;367
12;2007;Simulation;155;87;339
12;2008;Simulation;139;60;346
12;2009;Simulation;139;55;351
12;2010;Simulation;159;49;355
12;2011;Simulation;128;51;318
13;2002;Simulation;195;39;414
13;2003;Simulation;179;56;382
13;2004;Simulation;167;72;411
13;2005;Simulation;161;59;385
13;2006;Simulation;146;69;398
13;2007;Simulation;155;55;347
13;2008;Simulation;166;59;365
13;2009;Simulation;147;53;374
13;2010;Simulation;137;64;346
13;2011;Simulation;136;79;364
14;2002;Simulation;195;29;419
14;2003;Simulation;181;49;403
14;2004;Simulation;170;60;395
14;2005;Simulation;144;55;362
14;2006;Simulation;158;67;392
14;2007;Simulation;154;65;372
14;2008;Simulation;148;72;355
14;2009;Simulation;157;70;348
14;2010;Simulation;148;64;355
14;2011;Simulation;159;66;346
15;2002;Simulation;159;56;430
15;2003;Simulation;147;62;397
15;2004;Simulation;164;57;383
15;2005;Simulation;151;56;384
15;2006;Simulation;142;73;388
15;2007;Simulation;147;63;375
15;2008;Simulation;138;68;337
15;2009;Simulation;135;69;360
15;2010;Simulation;144;75;364
15;2011;Simulation;155;70;370
16;2002;Simulation;144;33;379
16;2003;Simulation;167;56;415
16;2004;Simulation;151;62;392
16;2005;Simulation;147;59;390
16;2006;Simulation;164;64;389
16;2007;Simulation;162;60;368
16;2008;Simulation;154;72;383
16;2009;Simulation;169;82;384
16;2010;Simulation;180;66;365
16;2011;Simulation;149;66;365
17;2002;Simulation;190;35;420
17;2003;Simulation;178;55;395
17;2004;Simulation;157;48;418
17;2005;Simulation;150;65;408
17;2006;Simulation;163;57;355
17;2007;Simulation;109;64;375
17;2008;Simulation;147;61;350
17;2009;Simulation;160;80;356
17;2010;Simulation;145;77;367
17;2011;Simulation;137;55;366
18;2002;Simulation;161;37;383
18;2003;Simulation;143;51;394
18;2004;Simulation;155;61;419
18;2005;Simulation;154;56;402
18;2006;Simulation;146;61;399
18;2007;Simulation;158;61;360
18;2008;Simulation;145;55;375
18;2009;Simulation;132;65;376
18;2010;Simulation;153;61;368
18;2011;Simulation;139;61;336
19;2002;Simulation;170;65;439
19;2003;Simulation;172;64;405
19;2004;Simulation;158;59;375
19;2005;Simulation;162;64;400
19;2006;Simulation;168;60;401
19;2007;Simulation;158;67;388
19;2008;Simulation;175;44;356
19;2009;Simulation;143;57;379
19;2010;Simulation;148;67;359
19;2011;Simulation;149;47;315
20;2002;Simulation;173;50;398
20;2003;Simulation;152;71;359
20;2004;Simulation;135;87;388
20;2005;Simulation;131;60;396
20;2006;Simulation;155;63;402
20;2007;Simulation;148;86;373
20;2008;Simulation;146;65;344
20;2009;Simulation;143;74;371
20;2010;Simulation;149;78;359
20;2011;Simulation;140;49;324
21;2002;Simulation;178;50;392
21;2003;Simulation;159;71;389
21;2004;Simulation;154;57;337
21;2005;Simulation;143;60;389
21;2006;Simulation;162;49;368
21;2007;Simulation;155;61;355
21;2008;Simulation;146;68;381
21;2009;Simulation;156;59;370
21;2010;Simulation;153;67;339
21;2011;Simulation;145;69;366
22;2002;Simulation;188;41;396
22;2003;Simulation;157;75;382
22;2004;Simulation;163;59;391
22;2005;Simulation;150;54;435
22;2006;Simulation;153;66;382
22;2007;Simulation;154;64;371
22;2008;Simulation;136;57;365
22;2009;Simulation;168;61;372
22;2010;Simulation;172;56;343
22;2011;Simulation;144;67;364
23;2002;Simulation;192;34;414
23;2003;Simulation;160;46;396
23;2004;Simulation;197;68;400
23;2005;Simulation;167;54;397
23;2006;Simulation;157;59;409
23;2007;Simulation;158;66;352
23;2008;Simulation;150;67;365
23;2009;Simulation;163;68;390
23;2010;Simulation;153;69;343
23;2011;Simulation;128;90;378
24;2002;Simulation;180;59;425
24;2003;Simulation;150;74;396
24;2004;Simulation;149;60;387
24;2005;Simulation;181;73;411
