Parameter;Mean;Lower 95 HPD;Upper 95 HPD;SD;Var;SSeff;SSD;MCSE;MC err %;PSRF point;PSRF Upper CI
y_ppc[1,1];181.3807;143.0000;216.0000;18.5452;343.9231;3000.0000;18.5452;0.3386;1.8257;1.0007;1.0024
y_ppc[2,1];158.3407;128.0000;182.0000;13.7568;189.2504;1323.3919;13.7568;0.3782;2.7489;1.0098;1.0339
y_ppc[3,1];155.5767;128.0000;181.0000;13.4573;181.0992;1216.2562;13.4573;0.3859;2.8674;1.0035;1.0129
y_ppc[4,1];153.8023;127.0000;179.0000;13.5148;182.6508;1902.1877;13.5148;0.3099;2.2928;1.0024;1.0088
y_ppc[5,1];153.1050;126.0000;177.0000;12.9975;168.9350;1774.2144;12.9975;0.3086;2.3741;1.0011;1.0053
y_ppc[6,1];150.2687;124.0000;175.0000;13.2818;176.4066;1787.7743;13.2818;0.3141;2.3651;1.0007;1.0027
y_ppc[7,1];148.6110;122.0000;174.0000;13.5163;182.6892;1079.8492;13.5163;0.4113;3.0431;1.0030;1.0099
y_ppc[8,1];147.8350;121.0000;170.0000;12.8106;164.1118;1692.2388;12.8106;0.3114;2.4309;0.9997;1.0000
y_ppc[9,1];147.3940;120.0000;171.0000;13.0266;169.6913;1713.1355;13.0266;0.3147;2.4160;0.9997;1.0000
y_ppc[10,1];146.4657;119.0000;171.0000;13.4103;179.8354;1230.9633;13.4103;0.3822;2.8502;1.0000;1.0005
y_ppc[1,2]; 42.8780; 25.0000; 60.0000; 9.1626; 83.9524;3000.0000; 9.1626;0.1673;1.8257;0.9997;1.0003
y_ppc[2,2]; 60.7417; 42.0000; 80.0000; 9.9951; 99.9029; 483.7228; 9.9951;0.4545;4.5468;1.0222;1.0775
y_ppc[3,2]; 60.2623; 43.0000; 76.0000; 8.6083; 74.1022;2101.6982; 8.6083;0.1878;2.1813;0.9996;0.9998
y_ppc[4,2]; 60.8410; 44.0000; 76.0000; 8.4094; 70.7180;2904.9551; 8.4094;0.1560;1.8554;1.0008;1.0040
y_ppc[5,2]; 61.7323; 45.0000; 77.0000; 8.3763; 70.1621;2883.9708; 8.3763;0.1560;1.8621;1.0000;1.0010
y_ppc[6,2]; 61.8810; 46.0000; 78.0000; 8.4796; 71.9028;2736.9662; 8.4796;0.1621;1.9115;1.0008;1.0038
y_ppc[7,2]; 61.5867; 45.0000; 77.0000; 8.4104; 70.7347;2645.6222; 8.4104;0.1635;1.9442;1.0013;1.0057
y_ppc[8,2]; 61.5073; 44.0000; 77.0000; 8.6026; 74.0046;2108.8418; 8.6026;0.1873;2.1776;1.0001;1.0011
y_ppc[9,2]; 61.0617; 44.0000; 77.0000; 8.5813; 73.6384;2629.1939; 8.5813;0.1674;1.9502;1.0004;1.0023
y_ppc[10,2]; 61.6860; 43.0000; 77.0000; 8.8001; 77.4419;1744.3209; 8.8001;0.2107;2.3943;1.0009;1.0043
y_ppc[1,3];395.6460;356.0000;445.0000;22.9644;527.3658; 407.1983;22.9644;1.1380;4.9556;1.0074;1.0243
y_ppc[2,3];390.5347;344.0000;430.0000;22.3140;497.9154; 551.5154;22.3140;0.9502;4.2582;1.0063;1.0210
y_ppc[3,3];386.9467;346.0000;429.0000;21.2462;451.3996; 709.5224;21.2462;0.7976;3.7542;1.0038;1.0149
y_ppc[4,3];382.5577;341.0000;423.0000;21.3422;455.4912;1019.1117;21.3422;0.6685;3.1325;1.0014;1.0028
y_ppc[5,3];378.4853;339.0000;420.0000;20.6993;428.4593; 856.3863;20.6993;0.7073;3.4172;1.0023;1.0061
y_ppc[6,3];373.4260;331.0000;412.0000;20.4521;418.2873;1415.2731;20.4521;0.5436;2.6582;1.0005;1.0026
y_ppc[7,3];370.0563;331.0000;409.0000;20.4737;419.1742;1164.5877;20.4737;0.5999;2.9303;1.0030;1.0121
y_ppc[8,3];365.6597;325.0000;404.0000;20.5536;422.4493;1167.0385;20.5536;0.6017;2.9272;1.0056;1.0217
y_ppc[9,3];362.7390;323.0000;403.0000;20.8055;432.8672; 861.8003;20.8055;0.7087;3.4064;1.0095;1.0352
y_ppc[10,3];359.8143;315.0000;399.0000;21.1543;447.5030; 539.6030;21.1543;0.9107;4.3049;1.0047;1.0172
