Lower95;Median;Upper95;Mean;SD;Mode;MCerr;MC%ofSD;SSeff;AC.5000;psrf
Prior_Prob_DensDep;0.0115655;0.24162;0.557023;0.264423382836667;0.153817307424687;NA;0.00358978743241829;2.3;1836;0.0267977778368876;1.0052439401648
Lef_F_DI;0.387575;0.457835;0.563277;0.465305814;0.0474323984184788;NA;0.00355187404378439;7.5;178;0.306433290025002;1.00512893714915
Lef_F_DD;0.387099;0.4417975;0.512471;0.445397785666667;0.0330477547011794;NA;0.00245589455142667;7.4;181;0.300377787218189;1.005812548915
Lef_Gf_DI;0.397115;0.736465;0.999796;0.719588022333333;0.175827925252494;NA;0.0104256299138148;5.9;284;0.221148551458857;1.00459435548643
Lef_Gf_DD;0.250764;0.488048;0.678017;0.475887449033333;0.117552155187759;NA;0.0105016110250233;8.9;125;0.428878965340341;1.02749151636834
Lef_Ss_DI;0.691513;0.865827;0.999944;0.855856088333333;0.0903866159080146;NA;0.00222053013414964;2.5;1657;0.0391168275491937;1.00504501078241
Lef_Ss_DD;0.128463;0.586421;0.894497;0.557936296;0.21567430345073;NA;0.0261516283960607;12.1;68;0.620474752634267;1.12522982708654
Lef_Gs_DI;5.58988e-05;0.134173;0.308487;0.144143910724267;0.0903866167751508;NA;0.00222053001373368;2.5;1657;0.0391168394036598;1.00504501512879
Lef_Gs_DD;1.16637e-05;0.05265475;0.217525;0.0724961241263;0.0714948652430976;NA;0.00267306536721314;3.7;715;0.0744572780833519;1.04028659773582
Lef_Sa_DI;0.976447;0.992783;0.999987;0.991120044333333;0.00728684013983032;NA;0.000209037929733018;2.9;1215;0.016450273008706;1.00277168939906
Lef_Sa_DD;0.974698;0.990385;0.999324;0.988802446;0.00711494253151958;NA;0.000225840522789443;3.2;993;0.0376930300646407;1.0116064344852
var.fec;0.103101;0.1304865;0.160503;0.1290171972;0.0173237278993861;NA;0.0012736813229792;7.4;185;0.385563861068752;1.09616821077271
var.fledrec;0.00717205;0.0668912;0.122619;0.0652531524233333;0.0347516767714644;NA;0.00401482550635529;11.6;75;0.589397510444586;1.07770629086204
var.subrec;7.90888e-05;0.02847365;0.108818;0.0398467155379;0.0358032699350341;NA;0.00397848548850902;11.1;81;0.570948142314515;1.15780183591723
var.subsurv;3.94001e-12;0.000170772;0.00585515;0.00114276969805098;0.00252093405548803;NA;7.5723482225493e-05;3;1108;0.0116801209065376;1.04398185913306
var.adsurv;0.600851;0.732625;0.777388;0.713313819666667;0.0783692306679072;NA;0.00378161841407885;4.8;429;0.277904464379627;1.17274386948865
var.envstoc;1.40525e-05;0.0162576;0.194854;0.0466952075982;0.103526647193444;NA;0.00493010448872948;4.8;441;0.279906502261897;1.02235445610823
var.demstoc;4.98426e-05;0.004096765;0.0102515;0.00473113758343333;0.00298151411335283;NA;6.20064201200815e-05;2.1;2312;0.0475251411758717;1.00335430102741
beta[1];1.67803e-07;0.000242744;0.000654464;0.000277604970097333;0.000194567155346185;NA;1.40897661460807e-05;7.2;191;0.305672257909022;1.00485519368776
beta[2];0.000203804;0.00289392;0.00866417;0.0035872378546;0.00247756599959559;NA;0.000234997993067966;9.5;111;0.561470296143009;1.03508815405155
beta[3];5.06551e-08;0.002852265;0.0300094;0.00674585834130503;0.0110136041993789;NA;0.00111829773673278;10.2;97;0.577882459742564;1.08129745314001
beta[4];1.38697e-06;0.006898695;0.446274;0.0722584517936933;0.150328218854759;NA;0.00638576726121112;4.2;554;0.248774770164955;1.03218396847399
beta[5];2.52045e-09;1.20735e-05;3.96848e-05;1.52398382691167e-05;1.30277043251152e-05;NA;3.62570744536385e-07;2.8;1291;0.0205219486079856;1.00566899528584
Prob_DensDep[1];0;0;0;0.012;0.108903412792128;0;0.00198829519251816;1.8;3000;0.00922796336407932;1.02353180079068
Prob_DensDep[2];0;0;0;0.0183333333333333;0.134176090629644;0;0.00256085121729597;1.9;2745;-0.0053976222084941;1.02740212980809
Prob_DensDep[3];0;0;1;0.0643333333333333;0.245386688917556;0;0.00732647567112734;3;1122;0.221274226317295;1.16519957290158
Prob_DensDep[4];0;0;1;0.240666666666667;0.427559537306252;0;0.015542367457835;3.6;757;0.163574032765906;1.03061518540773
Prob_DensDep[5];0;0;0;0.0136666666666667;0.116122279014193;0;0.00235642599599618;2;2428;0.00594369815718962;1.01062903991898
TransR;0.978146;0.9897185;1.0016;0.989826731666667;0.00609479663650429;NA;0.000390887779253047;6.4;243;0.261752882620904;1.02164538460166
PredR;0.969573;0.9912195;1.01364;0.991427503;0.0114764422802159;NA;0.000361771222998733;3.2;1006;0.0751869889736037;1.00414513276587
delta[1];1.58693e-05;24.3978;90.3196;33.4321034712348;30.2305803516215;NA;0.56825680040614;1.9;2830;-0.00306804786179232;1.00120892326509
delta[2];4.44769e-05;24.6118;91.998;33.8216034742286;30.5710999270993;NA;0.558149367927227;1.8;3000;0.035145172743563;1.00221390211756
