"Iteration";"Year";"Type";"N"
"1";"1";"Simulation";"648"
"1";"2";"Simulation";"671.745546318487"
"1";"3";"Simulation";"557.147624669321"
"1";"4";"Simulation";"494.652901606304"
"1";"5";"Simulation";"551.332510036753"
"1";"6";"Simulation";"542.606866622539"
"1";"7";"Simulation";"342.133522803579"
"1";"8";"Simulation";"39.0884705511191"
"1";"9";"Simulation";"NaN"
"1";"10";"Simulation";"NaN"
"1";"11";"Simulation";"NaN"
"1";"12";"Simulation";"NaN"
"1";"13";"Simulation";"NaN"
"1";"14";"Simulation";"NaN"
"1";"15";"Simulation";"NaN"
"1";"16";"Simulation";"NaN"
"1";"17";"Simulation";"NaN"
"1";"18";"Simulation";"NaN"
"1";"19";"Simulation";"NaN"
"1";"20";"Simulation";"NaN"
"1";"21";"Simulation";"NaN"
"1";"22";"Simulation";"NaN"
"1";"23";"Simulation";"NaN"
"1";"24";"Simulation";"NaN"
"1";"25";"Simulation";"NaN"
"1";"26";"Simulation";"NaN"
"1";"27";"Simulation";"NaN"
"1";"28";"Simulation";"NaN"
"1";"29";"Simulation";"NaN"
"1";"30";"Simulation";"NaN"
"1";"31";"Simulation";"NaN"
"1";"32";"Simulation";"NaN"
"1";"33";"Simulation";"NaN"
"1";"34";"Simulation";"NaN"
"1";"35";"Simulation";"NaN"
"1";"36";"Simulation";"NaN"
"1";"37";"Simulation";"NaN"
"1";"38";"Simulation";"NaN"
"1";"39";"Simulation";"NaN"
"1";"40";"Simulation";"NaN"
"1";"41";"Simulation";"NaN"
"1";"42";"Simulation";"NaN"
"1";"43";"Simulation";"NaN"
"1";"44";"Simulation";"NaN"
"1";"45";"Simulation";"NaN"
"1";"46";"Simulation";"NaN"
"1";"47";"Simulation";"NaN"
"1";"48";"Simulation";"NaN"
"1";"49";"Simulation";"NaN"
"1";"50";"Simulation";"NaN"
"1";"51";"Simulation";"NaN"
"1";"52";"Simulation";"NaN"
"1";"53";"Simulation";"NaN"
"1";"54";"Simulation";"NaN"
"1";"55";"Simulation";"NaN"
"1";"56";"Simulation";"NaN"
"1";"57";"Simulation";"NaN"
"1";"58";"Simulation";"NaN"
"1";"59";"Simulation";"NaN"
"1";"60";"Simulation";"NaN"
"1";"61";"Simulation";"NaN"
"1";"62";"Simulation";"NaN"
"1";"63";"Simulation";"NaN"
"1";"64";"Simulation";"NaN"
"1";"65";"Simulation";"NaN"
"1";"66";"Simulation";"NaN"
"1";"67";"Simulation";"NaN"
"1";"68";"Simulation";"NaN"
"1";"69";"Simulation";"NaN"
"1";"70";"Simulation";"NaN"
"1";"71";"Simulation";"NaN"
"1";"72";"Simulation";"NaN"
"1";"73";"Simulation";"NaN"
"1";"74";"Simulation";"NaN"
"1";"75";"Simulation";"NaN"
"1";"76";"Simulation";"NaN"
"1";"77";"Simulation";"NaN"
"1";"78";"Simulation";"NaN"
"1";"79";"Simulation";"NaN"
"1";"80";"Simulation";"NaN"
"1";"81";"Simulation";"NaN"
"1";"82";"Simulation";"NaN"
"1";"83";"Simulation";"NaN"
"1";"84";"Simulation";"NaN"
"1";"85";"Simulation";"NaN"
"1";"86";"Simulation";"NaN"
"1";"87";"Simulation";"NaN"
"1";"88";"Simulation";"NaN"
"1";"89";"Simulation";"NaN"
"1";"90";"Simulation";"NaN"
"1";"91";"Simulation";"NaN"
"1";"92";"Simulation";"NaN"
"1";"93";"Simulation";"NaN"
"1";"94";"Simulation";"NaN"
"1";"95";"Simulation";"NaN"
"1";"96";"Simulation";"NaN"
"1";"97";"Simulation";"NaN"
"1";"98";"Simulation";"NaN"
"1";"99";"Simulation";"NaN"
"1";"100";"Simulation";"NaN"
"1";"101";"Simulation";"NaN"
"1";"102";"Simulation";"NaN"
"1";"103";"Simulation";"NaN"
"1";"104";"Simulation";"NaN"
"1";"105";"Simulation";"NaN"
"1";"106";"Simulation";"NaN"
"1";"107";"Simulation";"NaN"
"1";"108";"Simulation";"NaN"
"1";"109";"Simulation";"NaN"
"1";"110";"Simulation";"NaN"
"1";"111";"Simulation";"NaN"
"1";"112";"Simulation";"NaN"
"1";"113";"Simulation";"NaN"
"1";"114";"Simulation";"NaN"
"1";"115";"Simulation";"NaN"
"1";"116";"Simulation";"NaN"
"1";"117";"Simulation";"NaN"
"1";"118";"Simulation";"NaN"
"1";"119";"Simulation";"NaN"
"1";"120";"Simulation";"NaN"
"1";"121";"Simulation";"NaN"
"1";"122";"Simulation";"NaN"
"1";"123";"Simulation";"NaN"
"1";"124";"Simulation";"NaN"
"1";"125";"Simulation";"NaN"
"1";"126";"Simulation";"NaN"
"1";"127";"Simulation";"NaN"
"1";"128";"Simulation";"NaN"
"1";"129";"Simulation";"NaN"
"1";"130";"Simulation";"NaN"
"1";"131";"Simulation";"NaN"
"1";"132";"Simulation";"NaN"
"1";"133";"Simulation";"NaN"
"1";"134";"Simulation";"NaN"
"1";"135";"Simulation";"NaN"
"1";"136";"Simulation";"NaN"
"1";"137";"Simulation";"NaN"
"1";"138";"Simulation";"NaN"
"1";"139";"Simulation";"NaN"
"1";"140";"Simulation";"NaN"
"1";"141";"Simulation";"NaN"
"1";"142";"Simulation";"NaN"
"1";"143";"Simulation";"NaN"
"1";"144";"Simulation";"NaN"
"1";"145";"Simulation";"NaN"
"1";"146";"Simulation";"NaN"
"1";"147";"Simulation";"NaN"
"1";"148";"Simulation";"NaN"
"1";"149";"Simulation";"NaN"
"1";"150";"Simulation";"NaN"
"1";"151";"Simulation";"NaN"
"1";"152";"Simulation";"NaN"
"1";"153";"Simulation";"NaN"
"1";"154";"Simulation";"NaN"
"1";"155";"Simulation";"NaN"
"1";"156";"Simulation";"NaN"
"1";"157";"Simulation";"NaN"
"1";"158";"Simulation";"NaN"
"1";"159";"Simulation";"NaN"
"1";"160";"Simulation";"NaN"
"1";"161";"Simulation";"NaN"
"1";"162";"Simulation";"NaN"
"1";"163";"Simulation";"NaN"
"1";"164";"Simulation";"NaN"
"1";"165";"Simulation";"NaN"
"1";"166";"Simulation";"NaN"
"1";"167";"Simulation";"NaN"
"1";"168";"Simulation";"NaN"
"1";"169";"Simulation";"NaN"
"1";"170";"Simulation";"NaN"
"1";"171";"Simulation";"NaN"
"1";"172";"Simulation";"NaN"
"1";"173";"Simulation";"NaN"
"1";"174";"Simulation";"NaN"
"1";"175";"Simulation";"NaN"
"1";"176";"Simulation";"NaN"
"1";"177";"Simulation";"NaN"
"1";"178";"Simulation";"NaN"
"1";"179";"Simulation";"NaN"
"1";"180";"Simulation";"NaN"
"1";"181";"Simulation";"NaN"
"1";"182";"Simulation";"NaN"
"1";"183";"Simulation";"NaN"
"1";"184";"Simulation";"NaN"
"1";"185";"Simulation";"NaN"
"1";"186";"Simulation";"NaN"
"1";"187";"Simulation";"NaN"
"1";"188";"Simulation";"NaN"
"1";"189";"Simulation";"NaN"
"1";"190";"Simulation";"NaN"
"1";"191";"Simulation";"NaN"
"1";"192";"Simulation";"NaN"
"1";"193";"Simulation";"NaN"
"1";"194";"Simulation";"NaN"
"1";"195";"Simulation";"NaN"
"1";"196";"Simulation";"NaN"
"1";"197";"Simulation";"NaN"
"1";"198";"Simulation";"NaN"
"1";"199";"Simulation";"NaN"
"1";"200";"Simulation";"NaN"
"1";"201";"Simulation";"NaN"
"2";"1";"Simulation";"649"
"2";"2";"Simulation";"512.378550753576"
"2";"3";"Simulation";"561.119530950916"
"2";"4";"Simulation";"597.586442751183"
"2";"5";"Simulation";"598.870467503023"
"2";"6";"Simulation";"608.281509212904"
"2";"7";"Simulation";"682.069559222061"
"2";"8";"Simulation";"595.486265334878"
"2";"9";"Simulation";"697.387192996323"
"2";"10";"Simulation";"761.327086864298"
"2";"11";"Simulation";"667.067843538148"
"2";"12";"Simulation";"707.1928806204"
"2";"13";"Simulation";"708.133137984822"
"2";"14";"Simulation";"463.895926254847"
"2";"15";"Simulation";"529.705834386321"
"2";"16";"Simulation";"639.345801169408"
"2";"17";"Simulation";"522.263432789909"
"2";"18";"Simulation";"496.145759059277"
"2";"19";"Simulation";"365.48601382184"
"2";"20";"Simulation";"170.99267885427"
"2";"21";"Simulation";"190.602309930242"
"2";"22";"Simulation";"172.640381552022"
"2";"23";"Simulation";"159.87746465789"
"2";"24";"Simulation";"17.1453421437674"
"2";"25";"Simulation";"NaN"
"2";"26";"Simulation";"NaN"
"2";"27";"Simulation";"NaN"
"2";"28";"Simulation";"NaN"
"2";"29";"Simulation";"NaN"
"2";"30";"Simulation";"NaN"
"2";"31";"Simulation";"NaN"
"2";"32";"Simulation";"NaN"
"2";"33";"Simulation";"NaN"
"2";"34";"Simulation";"NaN"
"2";"35";"Simulation";"NaN"
"2";"36";"Simulation";"NaN"
"2";"37";"Simulation";"NaN"
"2";"38";"Simulation";"NaN"
"2";"39";"Simulation";"NaN"
"2";"40";"Simulation";"NaN"
"2";"41";"Simulation";"NaN"
"2";"42";"Simulation";"NaN"
"2";"43";"Simulation";"NaN"
"2";"44";"Simulation";"NaN"
"2";"45";"Simulation";"NaN"
"2";"46";"Simulation";"NaN"
"2";"47";"Simulation";"NaN"
"2";"48";"Simulation";"NaN"
"2";"49";"Simulation";"NaN"
"2";"50";"Simulation";"NaN"
"2";"51";"Simulation";"NaN"
"2";"52";"Simulation";"NaN"
"2";"53";"Simulation";"NaN"
"2";"54";"Simulation";"NaN"
"2";"55";"Simulation";"NaN"
"2";"56";"Simulation";"NaN"
"2";"57";"Simulation";"NaN"
"2";"58";"Simulation";"NaN"
"2";"59";"Simulation";"NaN"
"2";"60";"Simulation";"NaN"
"2";"61";"Simulation";"NaN"
"2";"62";"Simulation";"NaN"
"2";"63";"Simulation";"NaN"
"2";"64";"Simulation";"NaN"
"2";"65";"Simulation";"NaN"
"2";"66";"Simulation";"NaN"
"2";"67";"Simulation";"NaN"
"2";"68";"Simulation";"NaN"
"2";"69";"Simulation";"NaN"
"2";"70";"Simulation";"NaN"
"2";"71";"Simulation";"NaN"
"2";"72";"Simulation";"NaN"
"2";"73";"Simulation";"NaN"
"2";"74";"Simulation";"NaN"
"2";"75";"Simulation";"NaN"
"2";"76";"Simulation";"NaN"
"2";"77";"Simulation";"NaN"
"2";"78";"Simulation";"NaN"
"2";"79";"Simulation";"NaN"
"2";"80";"Simulation";"NaN"
"2";"81";"Simulation";"NaN"
"2";"82";"Simulation";"NaN"
"2";"83";"Simulation";"NaN"
"2";"84";"Simulation";"NaN"
"2";"85";"Simulation";"NaN"
"2";"86";"Simulation";"NaN"
"2";"87";"Simulation";"NaN"
"2";"88";"Simulation";"NaN"
"2";"89";"Simulation";"NaN"
"2";"90";"Simulation";"NaN"
"2";"91";"Simulation";"NaN"
"2";"92";"Simulation";"NaN"
"2";"93";"Simulation";"NaN"
"2";"94";"Simulation";"NaN"
"2";"95";"Simulation";"NaN"
"2";"96";"Simulation";"NaN"
"2";"97";"Simulation";"NaN"
"2";"98";"Simulation";"NaN"
"2";"99";"Simulation";"NaN"
"2";"100";"Simulation";"NaN"
"2";"101";"Simulation";"NaN"
"2";"102";"Simulation";"NaN"
"2";"103";"Simulation";"NaN"
"2";"104";"Simulation";"NaN"
"2";"105";"Simulation";"NaN"
"2";"106";"Simulation";"NaN"
"2";"107";"Simulation";"NaN"
"2";"108";"Simulation";"NaN"
"2";"109";"Simulation";"NaN"
"2";"110";"Simulation";"NaN"
"2";"111";"Simulation";"NaN"
"2";"112";"Simulation";"NaN"
"2";"113";"Simulation";"NaN"
"2";"114";"Simulation";"NaN"
"2";"115";"Simulation";"NaN"
"2";"116";"Simulation";"NaN"
"2";"117";"Simulation";"NaN"
"2";"118";"Simulation";"NaN"
"2";"119";"Simulation";"NaN"
"2";"120";"Simulation";"NaN"
"2";"121";"Simulation";"NaN"
"2";"122";"Simulation";"NaN"
"2";"123";"Simulation";"NaN"
"2";"124";"Simulation";"NaN"
"2";"125";"Simulation";"NaN"
"2";"126";"Simulation";"NaN"
"2";"127";"Simulation";"NaN"
"2";"128";"Simulation";"NaN"
"2";"129";"Simulation";"NaN"
"2";"130";"Simulation";"NaN"
"2";"131";"Simulation";"NaN"
"2";"132";"Simulation";"NaN"
"2";"133";"Simulation";"NaN"
"2";"134";"Simulation";"NaN"
"2";"135";"Simulation";"NaN"
"2";"136";"Simulation";"NaN"
"2";"137";"Simulation";"NaN"
"2";"138";"Simulation";"NaN"
"2";"139";"Simulation";"NaN"
"2";"140";"Simulation";"NaN"
"2";"141";"Simulation";"NaN"
"2";"142";"Simulation";"NaN"
"2";"143";"Simulation";"NaN"
"2";"144";"Simulation";"NaN"
"2";"145";"Simulation";"NaN"
"2";"146";"Simulation";"NaN"
"2";"147";"Simulation";"NaN"
"2";"148";"Simulation";"NaN"
"2";"149";"Simulation";"NaN"
"2";"150";"Simulation";"NaN"
"2";"151";"Simulation";"NaN"
"2";"152";"Simulation";"NaN"
"2";"153";"Simulation";"NaN"
"2";"154";"Simulation";"NaN"
"2";"155";"Simulation";"NaN"
"2";"156";"Simulation";"NaN"
"2";"157";"Simulation";"NaN"
"2";"158";"Simulation";"NaN"
"2";"159";"Simulation";"NaN"
"2";"160";"Simulation";"NaN"
"2";"161";"Simulation";"NaN"
"2";"162";"Simulation";"NaN"
"2";"163";"Simulation";"NaN"
"2";"164";"Simulation";"NaN"
"2";"165";"Simulation";"NaN"
"2";"166";"Simulation";"NaN"
"2";"167";"Simulation";"NaN"
"2";"168";"Simulation";"NaN"
"2";"169";"Simulation";"NaN"
"2";"170";"Simulation";"NaN"
"2";"171";"Simulation";"NaN"
"2";"172";"Simulation";"NaN"
"2";"173";"Simulation";"NaN"
"2";"174";"Simulation";"NaN"
"2";"175";"Simulation";"NaN"
"2";"176";"Simulation";"NaN"
"2";"177";"Simulation";"NaN"
"2";"178";"Simulation";"NaN"
"2";"179";"Simulation";"NaN"
"2";"180";"Simulation";"NaN"
"2";"181";"Simulation";"NaN"
"2";"182";"Simulation";"NaN"
"2";"183";"Simulation";"NaN"
"2";"184";"Simulation";"NaN"
"2";"185";"Simulation";"NaN"
"2";"186";"Simulation";"NaN"
"2";"187";"Simulation";"NaN"
"2";"188";"Simulation";"NaN"
"2";"189";"Simulation";"NaN"
"2";"190";"Simulation";"NaN"
"2";"191";"Simulation";"NaN"
"2";"192";"Simulation";"NaN"
"2";"193";"Simulation";"NaN"
"2";"194";"Simulation";"NaN"
"2";"195";"Simulation";"NaN"
"2";"196";"Simulation";"NaN"
"2";"197";"Simulation";"NaN"
"2";"198";"Simulation";"NaN"
"2";"199";"Simulation";"NaN"
"2";"200";"Simulation";"NaN"
"2";"201";"Simulation";"NaN"
"3";"1";"Simulation";"642"
"3";"2";"Simulation";"615.316099537536"
"3";"3";"Simulation";"674.468625707198"
"3";"4";"Simulation";"634.877373980468"
"3";"5";"Simulation";"631.950788228594"
"3";"6";"Simulation";"597.288377195486"
"3";"7";"Simulation";"553.517344341941"
"3";"8";"Simulation";"694.798644065491"
"3";"9";"Simulation";"603.082202940888"
"3";"10";"Simulation";"603.729263195866"
"3";"11";"Simulation";"574.675390454177"
"3";"12";"Simulation";"625.134515578151"
"3";"13";"Simulation";"523.31868604815"
"3";"14";"Simulation";"546.175102132362"
"3";"15";"Simulation";"520.042331974348"
"3";"16";"Simulation";"497.068550809762"
"3";"17";"Simulation";"437.362873810459"
"3";"18";"Simulation";"336.425869073694"
"3";"19";"Simulation";"376.380534452446"
"3";"20";"Simulation";"546.063956318424"
"3";"21";"Simulation";"558.425152181841"
"3";"22";"Simulation";"569.857170602986"
"3";"23";"Simulation";"544.438130264276"
"3";"24";"Simulation";"571.137001673239"
"3";"25";"Simulation";"573.788372899934"
"3";"26";"Simulation";"484.679620618557"
"3";"27";"Simulation";"370.969232717731"
"3";"28";"Simulation";"354.698704810447"
"3";"29";"Simulation";"530.758271261718"
"3";"30";"Simulation";"634.412553781283"
"3";"31";"Simulation";"460.496906345393"
"3";"32";"Simulation";"523.411112484501"
"3";"33";"Simulation";"351.58883154164"
"3";"34";"Simulation";"299.795271309832"
"3";"35";"Simulation";"422.961562717741"
"3";"36";"Simulation";"436.861260922331"
