"Rate";"True_Value";"Posterior_fitted_Value"
"Fecundity";"0.487024765333333";"0.5019"
"Sub-adult survival";"0.840618671";"0.8637"
"Sub-adult recruitment";"0.159381331306833";"0.1363"
"Fledgling recruitment";"0.685062755533333";"0.7548"
"Adult survival";"0.985408128";"0.9850"
"Fecundity";"0.487024765333333";"0.4910"
"Sub-adult survival";"0.840618671";"0.6020"
"Sub-adult recruitment";"0.159381331306833";"0.3980"
"Fledgling recruitment";"0.685062755533333";"0.7136"
"Adult survival";"0.985408128";"0.9945"
"Fecundity";"0.487024765333333";"0.4778"
"Sub-adult survival";"0.840618671";"0.8349"
"Sub-adult recruitment";"0.159381331306833";"0.1651"
"Fledgling recruitment";"0.685062755533333";"0.6608"
"Adult survival";"0.985408128";"0.9878"
"Fecundity";"0.487024765333333";"0.4781"
"Sub-adult survival";"0.840618671";"0.8620"
"Sub-adult recruitment";"0.159381331306833";"0.1380"
"Fledgling recruitment";"0.685062755533333";"0.7215"
"Adult survival";"0.985408128";"0.9798"
"Fecundity";"0.487024765333333";"0.4950"
"Sub-adult survival";"0.840618671";"0.7659"
"Sub-adult recruitment";"0.159381331306833";"0.2341"
"Fledgling recruitment";"0.685062755533333";"0.7106"
"Adult survival";"0.985408128";"0.9901"
"Fecundity";"0.487024765333333";"0.4994"
"Sub-adult survival";"0.840618671";"0.8380"
"Sub-adult recruitment";"0.159381331306833";"0.1620"
"Fledgling recruitment";"0.685062755533333";"0.7370"
"Adult survival";"0.985408128";"0.9860"
"Fecundity";"0.487024765333333";"0.5135"
"Sub-adult survival";"0.840618671";"0.7323"
"Sub-adult recruitment";"0.159381331306833";"0.2677"
"Fledgling recruitment";"0.685062755533333";"0.6801"
"Adult survival";"0.985408128";"0.9889"
"Fecundity";"0.487024765333333";"0.4878"
"Sub-adult survival";"0.840618671";"0.8550"
"Sub-adult recruitment";"0.159381331306833";"0.1450"
"Fledgling recruitment";"0.685062755533333";"0.6661"
"Adult survival";"0.985408128";"0.9687"
"Fecundity";"0.487024765333333";"0.4986"
"Sub-adult survival";"0.840618671";"0.8584"
"Sub-adult recruitment";"0.159381331306833";"0.1416"
"Fledgling recruitment";"0.685062755533333";"0.7224"
"Adult survival";"0.985408128";"0.9839"
"Fecundity";"0.487024765333333";"0.4877"
"Sub-adult survival";"0.840618671";"0.8567"
"Sub-adult recruitment";"0.159381331306833";"0.1433"
"Fledgling recruitment";"0.685062755533333";"0.6402"
"Adult survival";"0.985408128";"0.9763"
"Fecundity";"0.487024765333333";"0.5146"
"Sub-adult survival";"0.840618671";"0.6279"
"Sub-adult recruitment";"0.159381331306833";"0.3721"
"Fledgling recruitment";"0.685062755533333";"0.7530"
"Adult survival";"0.985408128";"0.9928"
"Fecundity";"0.487024765333333";"0.4977"
"Sub-adult survival";"0.840618671";"0.8616"
"Sub-adult recruitment";"0.159381331306833";"0.1384"
"Fledgling recruitment";"0.685062755533333";"0.5903"
"Adult survival";"0.985408128";"0.9868"
"Fecundity";"0.487024765333333";"0.4889"
"Sub-adult survival";"0.840618671";"0.8480"
"Sub-adult recruitment";"0.159381331306833";"0.1520"
"Fledgling recruitment";"0.685062755533333";"0.7540"
"Adult survival";"0.985408128";"0.9819"
"Fecundity";"0.487024765333333";"0.4873"
"Sub-adult survival";"0.840618671";"0.8674"
"Sub-adult recruitment";"0.159381331306833";"0.1326"
"Fledgling recruitment";"0.685062755533333";"0.7645"
"Adult survival";"0.985408128";"0.9717"
"Fecundity";"0.487024765333333";"0.4925"
"Sub-adult survival";"0.840618671";"0.8419"
"Sub-adult recruitment";"0.159381331306833";"0.1581"
"Fledgling recruitment";"0.685062755533333";"0.6059"
"Adult survival";"0.985408128";"0.9818"
"Fecundity";"0.487024765333333";"0.4982"
"Sub-adult survival";"0.840618671";"0.8668"
"Sub-adult recruitment";"0.159381331306833";"0.1332"
"Fledgling recruitment";"0.685062755533333";"0.7730"
"Adult survival";"0.985408128";"0.9782"
"Fecundity";"0.487024765333333";"0.4752"
"Sub-adult survival";"0.840618671";"0.8661"
"Sub-adult recruitment";"0.159381331306833";"0.1339"
"Fledgling recruitment";"0.685062755533333";"0.8073"
"Adult survival";"0.985408128";"0.9856"
"Fecundity";"0.487024765333333";"0.4952"
"Sub-adult survival";"0.840618671";"0.7321"
"Sub-adult recruitment";"0.159381331306833";"0.2679"
"Fledgling recruitment";"0.685062755533333";"0.7126"
"Adult survival";"0.985408128";"0.9905"
"Fecundity";"0.487024765333333";"0.4878"
"Sub-adult survival";"0.840618671";"0.8259"
"Sub-adult recruitment";"0.159381331306833";"0.1741"
"Fledgling recruitment";"0.685062755533333";"0.8011"
"Adult survival";"0.985408128";"0.9867"
"Fecundity";"0.487024765333333";"0.5231"
"Sub-adult survival";"0.840618671";"0.7172"
"Sub-adult recruitment";"0.159381331306833";"0.2828"
"Fledgling recruitment";"0.685062755533333";"0.6769"
"Adult survival";"0.985408128";"0.9924"
"Fecundity";"0.487024765333333";"0.4742"
"Sub-adult survival";"0.840618671";"0.7984"
"Sub-adult recruitment";"0.159381331306833";"0.2016"
"Fledgling recruitment";"0.685062755533333";"0.7659"
"Adult survival";"0.985408128";"0.9883"
"Fecundity";"0.487024765333333";"0.4989"
"Sub-adult survival";"0.840618671";"0.7517"
"Sub-adult recruitment";"0.159381331306833";"0.2483"
"Fledgling recruitment";"0.685062755533333";"0.7173"
"Adult survival";"0.985408128";"0.9905"
"Fecundity";"0.487024765333333";"0.5152"
"Sub-adult survival";"0.840618671";"0.5403"
"Sub-adult recruitment";"0.159381331306833";"0.4597"
"Fledgling recruitment";"0.685062755533333";"0.7141"
"Adult survival";"0.985408128";"0.9954"
"Fecundity";"0.487024765333333";"0.4925"
"Sub-adult survival";"0.840618671";"0.8513"
"Sub-adult recruitment";"0.159381331306833";"0.1487"
"Fledgling recruitment";"0.685062755533333";"0.6912"
"Adult survival";"0.985408128";"0.9836"
"Fecundity";"0.487024765333333";"0.4876"
"Sub-adult survival";"0.840618671";"0.7624"
"Sub-adult recruitment";"0.159381331306833";"0.2376"
"Fledgling recruitment";"0.685062755533333";"0.7553"
"Adult survival";"0.985408128";"0.9893"
"Fecundity";"0.487024765333333";"0.4886"
"Sub-adult survival";"0.840618671";"0.8717"
"Sub-adult recruitment";"0.159381331306833";"0.1283"
"Fledgling recruitment";"0.685062755533333";"0.7390"
"Adult survival";"0.985408128";"0.9772"
"Fecundity";"0.487024765333333";"0.4931"
"Sub-adult survival";"0.840618671";"0.8457"
"Sub-adult recruitment";"0.159381331306833";"0.1543"
"Fledgling recruitment";"0.685062755533333";"0.6984"
"Adult survival";"0.985408128";"0.9823"
"Fecundity";"0.487024765333333";"0.4977"
"Sub-adult survival";"0.840618671";"0.8211"
"Sub-adult recruitment";"0.159381331306833";"0.1789"
"Fledgling recruitment";"0.685062755533333";"0.7324"
"Adult survival";"0.985408128";"0.9827"
"Fecundity";"0.487024765333333";"0.4896"
"Sub-adult survival";"0.840618671";"0.8700"
"Sub-adult recruitment";"0.159381331306833";"0.1300"
"Fledgling recruitment";"0.685062755533333";"0.7706"
"Adult survival";"0.985408128";"0.9799"
"Fecundity";"0.487024765333333";"0.4946"
"Sub-adult survival";"0.840618671";"0.8426"
"Sub-adult recruitment";"0.159381331306833";"0.1574"
"Fledgling recruitment";"0.685062755533333";"0.7024"
"Adult survival";"0.985408128";"0.9869"
"Fecundity";"0.487024765333333";"0.4980"
"Sub-adult survival";"0.840618671";"0.7583"
"Sub-adult recruitment";"0.159381331306833";"0.2417"
"Fledgling recruitment";"0.685062755533333";"0.7382"
"Adult survival";"0.985408128";"0.9886"
"Fecundity";"0.487024765333333";"0.4972"
"Sub-adult survival";"0.840618671";"0.8643"
"Sub-adult recruitment";"0.159381331306833";"0.1357"
"Fledgling recruitment";"0.685062755533333";"0.7295"
"Adult survival";"0.985408128";"0.9811"
"Fecundity";"0.487024765333333";"0.5189"
"Sub-adult survival";"0.840618671";"0.6726"
"Sub-adult recruitment";"0.159381331306833";"0.3274"
"Fledgling recruitment";"0.685062755533333";"0.7093"
"Adult survival";"0.985408128";"0.9910"
"Fecundity";"0.487024765333333";"0.4979"
"Sub-adult survival";"0.840618671";"0.8548"
"Sub-adult recruitment";"0.159381331306833";"0.1452"
"Fledgling recruitment";"0.685062755533333";"0.7011"
"Adult survival";"0.985408128";"0.9845"
"Fecundity";"0.487024765333333";"0.4802"
"Sub-adult survival";"0.840618671";"0.8618"
"Sub-adult recruitment";"0.159381331306833";"0.1382"
"Fledgling recruitment";"0.685062755533333";"0.7858"
"Adult survival";"0.985408128";"0.9798"
"Fecundity";"0.487024765333333";"0.4775"
"Sub-adult survival";"0.840618671";"0.8491"
"Sub-adult recruitment";"0.159381331306833";"0.1509"
"Fledgling recruitment";"0.685062755533333";"0.5787"
"Adult survival";"0.985408128";"0.9841"
"Fecundity";"0.487024765333333";"0.5099"
"Sub-adult survival";"0.840618671";"0.8418"
"Sub-adult recruitment";"0.159381331306833";"0.1582"
"Fledgling recruitment";"0.685062755533333";"0.6551"
"Adult survival";"0.985408128";"0.9854"
"Fecundity";"0.487024765333333";"0.4840"
"Sub-adult survival";"0.840618671";"0.8710"
"Sub-adult recruitment";"0.159381331306833";"0.1290"
"Fledgling recruitment";"0.685062755533333";"0.7085"
