Iteration;Year;Type;Fledglings;Sub-adults;Adults
1;2012;Simulation;192;60;399
1;2013;Simulation;207;79;473
1;2014;Simulation;244;75;538
1;2015;Simulation;255;62;597
1;2016;Simulation;268;62;589
1;2017;Simulation;268;67;550
1;2018;Simulation;276;63;632
1;2019;Simulation;285;69;675
1;2020;Simulation;297;57;653
2;2012;Simulation;170;55;472
2;2013;Simulation;206;73;514
2;2014;Simulation;240;66;552
2;2015;Simulation;246;82;542
2;2016;Simulation;292;62;617
2;2017;Simulation;269;78;619
2;2018;Simulation;255;72;611
2;2019;Simulation;278;73;644
2;2020;Simulation;271;95;655
3;2012;Simulation;206;71;464
3;2013;Simulation;200;77;480
3;2014;Simulation;279;53;560
3;2015;Simulation;243;87;606
3;2016;Simulation;236;87;606
3;2017;Simulation;297;88;649
3;2018;Simulation;246;73;639
3;2019;Simulation;273;74;616
3;2020;Simulation;253;67;610
4;2012;Simulation;171;50;418
4;2013;Simulation;209;66;444
4;2014;Simulation;305;68;560
4;2015;Simulation;270;76;565
4;2016;Simulation;204;73;540
4;2017;Simulation;278;63;605
4;2018;Simulation;259;62;626
4;2019;Simulation;258;70;612
4;2020;Simulation;257;75;579
5;2012;Simulation;183;66;415
5;2013;Simulation;220;85;500
5;2014;Simulation;263;74;565
5;2015;Simulation;247;82;598
5;2016;Simulation;260;81;588
5;2017;Simulation;271;84;578
5;2018;Simulation;262;67;610
5;2019;Simulation;296;87;617
5;2020;Simulation;298;78;629
6;2012;Simulation;159;39;424
6;2013;Simulation;224;61;418
6;2014;Simulation;263;70;543
6;2015;Simulation;274;92;557
6;2016;Simulation;211;82;545
6;2017;Simulation;293;90;604
6;2018;Simulation;265;75;630
6;2019;Simulation;263;79;653
6;2020;Simulation;279;90;607
7;2012;Simulation;203;58;386
7;2013;Simulation;247;71;464
7;2014;Simulation;217;62;510
7;2015;Simulation;246;82;593
7;2016;Simulation;271;79;555
7;2017;Simulation;311;70;612
7;2018;Simulation;302;78;600
7;2019;Simulation;321;75;620
7;2020;Simulation;262;79;612
8;2012;Simulation;205;58;372
8;2013;Simulation;198;81;450
8;2014;Simulation;272;47;612
8;2015;Simulation;269;69;543
8;2016;Simulation;215;80;530
8;2017;Simulation;243;62;635
8;2018;Simulation;274;68;625
8;2019;Simulation;290;87;577
8;2020;Simulation;250;70;635
9;2012;Simulation;183;64;419
9;2013;Simulation;241;81;435
9;2014;Simulation;264;69;548
9;2015;Simulation;250;57;572
9;2016;Simulation;240;72;523
9;2017;Simulation;252;82;608
9;2018;Simulation;294;80;625
9;2019;Simulation;303;75;627
9;2020;Simulation;261;74;575
10;2012;Simulation;220;72;391
10;2013;Simulation;194;80;427
10;2014;Simulation;278;65;553
10;2015;Simulation;267;85;565
10;2016;Simulation;254;78;547
10;2017;Simulation;269;64;651
10;2018;Simulation;244;69;545
10;2019;Simulation;287;82;560
10;2020;Simulation;294;77;612
11;2012;Simulation;214;63;399
11;2013;Simulation;204;81;414
11;2014;Simulation;286;73;522
11;2015;Simulation;257;84;522
11;2016;Simulation;239;95;583
11;2017;Simulation;288;87;551
11;2018;Simulation;280;89;600
11;2019;Simulation;273;89;662
11;2020;Simulation;297;88;645
12;2012;Simulation;197;57;405
12;2013;Simulation;235;70;443
12;2014;Simulation;301;58;540
12;2015;Simulation;294;66;579
12;2016;Simulation;260;62;572
12;2017;Simulation;294;75;594
12;2018;Simulation;252;71;616
12;2019;Simulation;299;74;619
12;2020;Simulation;273;75;654
13;2012;Simulation;176;62;412
13;2013;Simulation;235;62;418
13;2014;Simulation;296;61;553
13;2015;Simulation;233;90;582
13;2016;Simulation;252;58;559
13;2017;Simulation;296;66;568
13;2018;Simulation;288;55;601
13;2019;Simulation;314;79;673
13;2020;Simulation;285;88;639
14;2012;Simulation;173;44;430
14;2013;Simulation;186;68;393
14;2014;Simulation;260;95;578
14;2015;Simulation;279;80;569
14;2016;Simulation;259;78;543
14;2017;Simulation;261;88;565
14;2018;Simulation;255;76;610
14;2019;Simulation;276;81;584
14;2020;Simulation;241;85;592
15;2012;Simulation;188;71;400
15;2013;Simulation;243;64;457
15;2014;Simulation;317;58;557
