Parameter;Mean;Lower 95 HPD;Upper 95 HPD;SD;Var;SSeff;SSD;MCSE;MC err %;PSRF point;PSRF Upper CI
y_ppc[1,1];195.8643;158.0000;233.0000;19.3036;372.6301;2904.6675;19.3036;0.3582;1.8555;1.0002;1.0013
y_ppc[2,1];211.3590;179.0000;247.0000;17.8565;318.8544; 814.2118;17.8565;0.6258;3.5045;1.0158;1.0572
y_ppc[3,1];266.5567;217.0000;311.0000;23.7609;564.5783; 231.5741;23.7609;1.5614;6.5714;1.0349;1.1196
y_ppc[4,1];263.3850;221.0000;300.0000;19.9190;396.7677; 538.6968;19.9190;0.8582;4.3085;1.0353;1.1199
y_ppc[5,1];250.5960;209.0000;289.0000;20.4035;416.3022; 298.0037;20.4035;1.1819;5.7928;1.0029;1.0114
y_ppc[6,1];278.5430;236.0000;316.0000;20.4535;418.3469; 351.7165;20.4535;1.0906;5.3322;1.0093;1.0335
y_ppc[7,1];275.3943;235.0000;315.0000;20.7856;432.0415; 407.8241;20.7856;1.0293;4.9518;1.0213;1.0721
y_ppc[8,1];287.8817;248.0000;328.0000;20.5077;420.5639; 599.4961;20.5077;0.8376;4.0842;1.0214;1.0762
y_ppc[9,1];282.1343;238.0000;320.0000;21.0448;442.8846; 369.7461;21.0448;1.0944;5.2005;1.0013;1.0058
y_ppc[1,2]; 58.0800; 36.0000; 77.0000;10.6107;112.5871;3000.0000;10.6107;0.1937;1.8257;0.9998;0.9999
y_ppc[2,2]; 68.0133; 48.0000; 84.0000; 9.1325; 83.4030;2468.9568; 9.1325;0.1838;2.0125;1.0053;1.0201
y_ppc[3,2]; 70.0263; 48.0000; 87.0000;10.0514;101.0313;1661.1769;10.0514;0.2466;2.4535;1.0006;1.0032
y_ppc[4,2]; 76.2523; 57.0000; 95.0000; 9.8729; 97.4738;1427.6896; 9.8729;0.2613;2.6466;1.0001;1.0018
y_ppc[5,2]; 74.7890; 55.0000; 92.0000; 9.6892; 93.8798;1954.5311; 9.6892;0.2192;2.2619;1.0007;1.0033
y_ppc[6,2]; 73.4417; 54.0000; 90.0000; 9.3786; 87.9586;1992.4721; 9.3786;0.2101;2.2403;1.0007;1.0035
y_ppc[7,2]; 75.8480; 57.0000; 94.0000; 9.6387; 92.9045;1677.7553; 9.6387;0.2353;2.4414;1.0028;1.0096
y_ppc[8,2]; 75.3263; 58.0000; 94.0000; 9.4262; 88.8528;1892.9325; 9.4262;0.2167;2.2984;1.0005;1.0029
y_ppc[9,2]; 76.1213; 57.0000; 95.0000; 9.7533; 95.1270;1614.5538; 9.7533;0.2427;2.4887;0.9996;0.9997
y_ppc[1,3];410.7057;355.0000;463.0000;28.2816;799.8517;1554.6417;28.2816;0.7173;2.5362;0.9997;1.0001
y_ppc[2,3];451.0117;395.0000;502.0000;26.9629;726.9965; 329.3316;26.9629;1.4858;5.5104;1.0068;1.0220
y_ppc[3,3];543.3983;487.0000;602.0000;29.7138;882.9113; 302.6032;29.7138;1.7081;5.7486;1.0548;1.1737
y_ppc[4,3];568.2207;509.0000;617.0000;27.7251;768.6809; 455.0979;27.7251;1.2996;4.6876;1.0074;1.0278
y_ppc[5,3];561.9460;502.0000;615.0000;28.7741;827.9511; 326.8734;28.7741;1.5915;5.5311;1.0216;1.0700
y_ppc[6,3];600.8797;543.0000;654.0000;28.8257;830.9188; 452.6513;28.8257;1.3549;4.7002;1.0045;1.0165
y_ppc[7,3];612.7167;551.0000;671.0000;31.0617;964.8320; 394.4101;31.0617;1.5641;5.0353;1.0662;1.2152
y_ppc[8,3];632.5513;572.0000;693.0000;30.5395;932.6636; 373.5888;30.5395;1.5800;5.1737;1.0249;1.0863
y_ppc[9,3];632.4527;568.0000;688.0000;31.3128;980.4933; 231.2919;31.3128;2.0589;6.5754;1.0137;1.0479
