Lower95;Median;Upper95;Mean;SD;Mode;MCerr;MC%ofSD;SSeff;AC.5000;psrf
Prior_Prob_DensDep;0.0127962;0.232039;0.536616;0.254540899076667;0.146236921088147;NA;0.00292941182028633;2;2492;-0.0502344396309255;1.00057089734523
Lef_F_DI;0.425004;0.4848465;0.556629;0.487024765333333;0.033912112821315;NA;0.00146047926731733;4.3;539;0.0182085721878635;1.01439084341943
Lef_F_DD;0.411007;0.462172;0.508016;0.461095374;0.0249308308212262;NA;0.00139965419510079;5.6;317;0.195848451429993;1.00743403801772
Lef_Gf_DI;0.361358;0.705211;0.998643;0.685062755533333;0.188509200458082;NA;0.024841643174319;13.2;58;0.631398843712199;1.02944157693816
Lef_Gf_DD;0.173383;0.3622325;0.47392;0.3453532386;0.0796661024936258;NA;0.0101803306204209;12.8;61;0.6661675497613;1.14045372437854
Lef_Ss_DI;0.643696;0.857055;0.999955;0.840618671;0.106091360980165;NA;0.00272082092442641;2.6;1520;-0.00433342537373816;1.00351562938654
Lef_Ss_DD;0.0749026;0.296712;0.757992;0.355089711333333;0.204475339297033;NA;0.0314981506034259;15.4;42;0.734992054378371;1.20421552097679
Lef_Gs_DI;4.49426e-05;0.142945;0.356304;0.159381331306833;0.106091357355347;NA;0.00272082087101318;2.6;1520;-0.00433344910070001;1.00351563007656
Lef_Gs_DD;7.71737e-07;0.03067415;0.259516;0.066116039382305;0.0866873182855045;NA;0.00245124939589258;2.8;1251;0.0420107731932672;1.00669897965563
Lef_Sa_DI;0.955866;0.9907095;0.999995;0.985408128;0.0170204395366754;NA;0.000477915771697233;2.8;1268;0.0324397432681343;1.00025240749681
Lef_Sa_DD;0.944798;0.983667;0.999492;0.978417786666667;0.019534485769392;NA;0.00066327205379632;3.4;867;0.029602043415462;1.00212618102479
var.fec;0.000986581;0.0254429;0.105166;0.0365509853793333;0.0315215890474731;NA;0.00127678429951273;4.1;610;0.030806693739398;1.00872112918672
var.fledrec;1.23071e-07;7.299585e-05;0.00020465;9.25482341270667e-05;0.000160573141656406;NA;1.22496941225799e-05;7.6;172;0.338522132629062;1.11595644983535
var.subrec;1.62991e-08;1.20301e-06;0.000135663;4.34793082684333e-05;0.000227081864646854;NA;1.3365156618975e-05;5.9;289;0.186166764196086;1.17285259360599
var.subsurv;3.14245e-18;1.048875e-08;3.38514e-05;1.14282983158091e-05;7.54253407814445e-05;NA;1.67991127693776e-06;2.2;2016;0.00201892438590158;1.00737124330769
var.adsurv;0.155877;0.5623425;0.827359;0.538123976146667;0.179678974338558;NA;0.00761674859157483;4.2;556;0.0718157091235593;1.01780168047872
var.envstoc;0.120504;0.400218;0.82565;0.425095996233333;0.190349949072766;NA;0.00790503496982376;4.2;580;0.0820733413691782;1.01291019402638
var.demstoc;6.76308e-08;5.85636e-05;0.00022812;8.15719623687667e-05;7.4920836738276e-05;NA;1.36786107695718e-06;1.8;3000;-0.0134150963363427;1.00150930889375
