"Iteration";"Year";"Type";"N"
"1";"1";"Simulation";"216"
"1";"2";"Simulation";"223.501789792802"
"1";"3";"Simulation";"248.468899901163"
"1";"4";"Simulation";"246.279825228653"
"1";"5";"Simulation";"300.728086682116"
"1";"6";"Simulation";"318.031882494141"
"1";"7";"Simulation";"282.147465274397"
"1";"8";"Simulation";"278.53678333916"
"1";"9";"Simulation";"276.895098852168"
"1";"10";"Simulation";"310.845043104527"
"1";"11";"Simulation";"330.708608763624"
"1";"12";"Simulation";"352.518524189303"
"1";"13";"Simulation";"365.479750008892"
"1";"14";"Simulation";"380.034276421444"
"1";"15";"Simulation";"389.478426082687"
"1";"16";"Simulation";"401.016553247578"
"1";"17";"Simulation";"422.144046459486"
"1";"18";"Simulation";"417.520585545395"
"1";"19";"Simulation";"446.897154289202"
"1";"20";"Simulation";"485.227193661901"
"1";"21";"Simulation";"508.727718272867"
"1";"22";"Simulation";"531.682526089746"
"1";"23";"Simulation";"559.773071189224"
"1";"24";"Simulation";"559.914693680089"
"1";"25";"Simulation";"554.447781306932"
"1";"26";"Simulation";"552.870596093638"
"1";"27";"Simulation";"548.431353296252"
"1";"28";"Simulation";"571.820898202268"
"1";"29";"Simulation";"613.221909861392"
"1";"30";"Simulation";"612.552040444635"
"1";"31";"Simulation";"633.814063308319"
"1";"32";"Simulation";"602.422046340579"
"1";"33";"Simulation";"608.226306963347"
"1";"34";"Simulation";"629.269136183477"
"1";"35";"Simulation";"621.074507158395"
"1";"36";"Simulation";"620.188679579158"
"1";"37";"Simulation";"627.991520380809"
"1";"38";"Simulation";"611.432090278955"
"1";"39";"Simulation";"618.409289925927"
"1";"40";"Simulation";"606.616937788294"
"1";"41";"Simulation";"626.611057496898"
"1";"42";"Simulation";"634.708734937149"
"1";"43";"Simulation";"622.262614051234"
"1";"44";"Simulation";"650.90623400505"
"1";"45";"Simulation";"656.82098305203"
"1";"46";"Simulation";"662.872355474175"
"1";"47";"Simulation";"650.416347512363"
"1";"48";"Simulation";"656.210459203184"
"1";"49";"Simulation";"657.588171950706"
"1";"50";"Simulation";"664.169391097539"
"1";"51";"Simulation";"671.563290792351"
"1";"52";"Simulation";"673.186664572568"
"1";"53";"Simulation";"692.230228862119"
"1";"54";"Simulation";"711.259277276265"
"1";"55";"Simulation";"740.351061286417"
"1";"56";"Simulation";"745.775291465546"
"1";"57";"Simulation";"775.860533412695"
"1";"58";"Simulation";"826.604800228391"
"1";"59";"Simulation";"813.813386650853"
"1";"60";"Simulation";"798.133154695121"
"1";"61";"Simulation";"792.493464776732"
"1";"62";"Simulation";"781.339584480787"
"1";"63";"Simulation";"757.646269488585"
"1";"64";"Simulation";"796.780835671701"
"1";"65";"Simulation";"782.919790657476"
"1";"66";"Simulation";"804.444866985733"
"1";"67";"Simulation";"771.965982337761"
"1";"68";"Simulation";"772.187744677081"
"1";"69";"Simulation";"773.436508621447"
"1";"70";"Simulation";"805.158576027368"
"1";"71";"Simulation";"814.043425193006"
"1";"72";"Simulation";"793.50553424236"
"1";"73";"Simulation";"800.30570946435"
"1";"74";"Simulation";"800.110654324999"
"1";"75";"Simulation";"811.343423125296"
"1";"76";"Simulation";"775.612118611667"
"1";"77";"Simulation";"755.254352748014"
"1";"78";"Simulation";"764.804286068876"
"1";"79";"Simulation";"769.912774485637"
"1";"80";"Simulation";"764.560201981059"
"1";"81";"Simulation";"785.381522886539"
"1";"82";"Simulation";"768.619548326719"
"1";"83";"Simulation";"758.706399132333"
"1";"84";"Simulation";"757.071276469121"
"1";"85";"Simulation";"763.423368200644"
"1";"86";"Simulation";"774.950429882237"
"1";"87";"Simulation";"777.184558217966"
"1";"88";"Simulation";"762.660225508995"
"1";"89";"Simulation";"778.140646851105"
"1";"90";"Simulation";"763.793340214342"
"1";"91";"Simulation";"786.024814896337"
"1";"92";"Simulation";"817.191414122082"
"1";"93";"Simulation";"816.893629303774"
"1";"94";"Simulation";"854.575764609952"
"1";"95";"Simulation";"843.205845778889"
"1";"96";"Simulation";"861.15260925531"
"1";"97";"Simulation";"836.949995710716"
"1";"98";"Simulation";"826.500134702541"
"1";"99";"Simulation";"824.956034987639"
"1";"100";"Simulation";"811.118357074409"
"1";"101";"Simulation";"820.611264625895"
"1";"102";"Simulation";"789.796931406175"
"1";"103";"Simulation";"739.138069353524"
"1";"104";"Simulation";"771.265551627459"
"1";"105";"Simulation";"750.586179548225"
"1";"106";"Simulation";"770.897256414984"
"1";"107";"Simulation";"757.459564512228"
"1";"108";"Simulation";"767.638670039931"
"1";"109";"Simulation";"768.720620213754"
"1";"110";"Simulation";"772.044943338119"
"1";"111";"Simulation";"789.8349309059"
"1";"112";"Simulation";"788.637826027223"
"1";"113";"Simulation";"814.940625377177"
"1";"114";"Simulation";"807.534408901601"
"1";"115";"Simulation";"781.098668009259"
"1";"116";"Simulation";"796.470521432436"
"1";"117";"Simulation";"781.784118843886"
"1";"118";"Simulation";"779.650638976734"
"1";"119";"Simulation";"780.223094538681"
"1";"120";"Simulation";"810.464801403265"
"1";"121";"Simulation";"805.050253252632"
"1";"122";"Simulation";"826.210915669875"
"1";"123";"Simulation";"827.535742985424"
"1";"124";"Simulation";"836.270265498562"
"1";"125";"Simulation";"837.498772842359"
"1";"126";"Simulation";"852.433348331657"
"1";"127";"Simulation";"873.852509633063"
"1";"128";"Simulation";"867.274806054833"
"1";"129";"Simulation";"889.568444196923"
"1";"130";"Simulation";"890.841872343269"
"1";"131";"Simulation";"910.465872618045"
"1";"132";"Simulation";"915.959963180585"
"1";"133";"Simulation";"933.400757418802"
"1";"134";"Simulation";"926.888803129022"
"1";"135";"Simulation";"945.368203010296"
"1";"136";"Simulation";"966.11064419528"
"1";"137";"Simulation";"949.14874219394"
