"Rate";"True_Value";"Posterior_fitted_Value"
"Fecundity";"0.629042651666667";"0.6409"
"Sub-adult survival";"0.682880517333333";"0.6992"
"Sub-adult recruitment";"0.3171194821";"0.3008"
"Fledgling recruitment";"0.451523383";"0.3776"
"Adult survival";"0.992352469";"0.9925"
"Fecundity";"0.629042651666667";"0.6280"
"Sub-adult survival";"0.682880517333333";"0.6448"
"Sub-adult recruitment";"0.3171194821";"0.3552"
"Fledgling recruitment";"0.451523383";"0.4254"
"Adult survival";"0.992352469";"0.9933"
"Fecundity";"0.629042651666667";"0.6175"
"Sub-adult survival";"0.682880517333333";"0.6953"
"Sub-adult recruitment";"0.3171194821";"0.3047"
"Fledgling recruitment";"0.451523383";"0.7785"
"Adult survival";"0.992352469";"0.9884"
"Fecundity";"0.629042651666667";"0.6348"
"Sub-adult survival";"0.682880517333333";"0.6931"
"Sub-adult recruitment";"0.3171194821";"0.3069"
"Fledgling recruitment";"0.451523383";"0.4928"
"Adult survival";"0.992352469";"0.9917"
"Fecundity";"0.629042651666667";"0.6544"
"Sub-adult survival";"0.682880517333333";"0.7361"
"Sub-adult recruitment";"0.3171194821";"0.2639"
"Fledgling recruitment";"0.451523383";"0.7441"
"Adult survival";"0.992352469";"0.9883"
"Fecundity";"0.629042651666667";"0.6335"
"Sub-adult survival";"0.682880517333333";"0.7405"
"Sub-adult recruitment";"0.3171194821";"0.2595"
"Fledgling recruitment";"0.451523383";"0.5113"
"Adult survival";"0.992352469";"0.9945"
"Fecundity";"0.629042651666667";"0.6154"
"Sub-adult survival";"0.682880517333333";"0.7078"
"Sub-adult recruitment";"0.3171194821";"0.2922"
"Fledgling recruitment";"0.451523383";"0.4189"
"Adult survival";"0.992352469";"0.9907"
"Fecundity";"0.629042651666667";"0.6630"
"Sub-adult survival";"0.682880517333333";"0.6922"
"Sub-adult recruitment";"0.3171194821";"0.3078"
"Fledgling recruitment";"0.451523383";"0.6969"
"Adult survival";"0.992352469";"0.9899"
"Fecundity";"0.629042651666667";"0.6354"
"Sub-adult survival";"0.682880517333333";"0.7109"
"Sub-adult recruitment";"0.3171194821";"0.2891"
"Fledgling recruitment";"0.451523383";"0.4029"
"Adult survival";"0.992352469";"0.9912"
"Fecundity";"0.629042651666667";"0.5796"
"Sub-adult survival";"0.682880517333333";"0.6852"
"Sub-adult recruitment";"0.3171194821";"0.3148"
"Fledgling recruitment";"0.451523383";"0.4288"
"Adult survival";"0.992352469";"0.9925"
"Fecundity";"0.629042651666667";"0.6270"
"Sub-adult survival";"0.682880517333333";"0.7262"
"Sub-adult recruitment";"0.3171194821";"0.2738"
"Fledgling recruitment";"0.451523383";"0.7065"
"Adult survival";"0.992352469";"0.9901"
"Fecundity";"0.629042651666667";"0.6000"
"Sub-adult survival";"0.682880517333333";"0.6198"
"Sub-adult recruitment";"0.3171194821";"0.3802"
"Fledgling recruitment";"0.451523383";"0.5591"
"Adult survival";"0.992352469";"0.9870"
"Fecundity";"0.629042651666667";"0.6065"
"Sub-adult survival";"0.682880517333333";"0.6617"
"Sub-adult recruitment";"0.3171194821";"0.3383"
"Fledgling recruitment";"0.451523383";"0.5632"
"Adult survival";"0.992352469";"0.9922"
"Fecundity";"0.629042651666667";"0.6215"
"Sub-adult survival";"0.682880517333333";"0.6717"
"Sub-adult recruitment";"0.3171194821";"0.3283"
"Fledgling recruitment";"0.451523383";"0.4903"
"Adult survival";"0.992352469";"0.9938"
"Fecundity";"0.629042651666667";"0.6310"
"Sub-adult survival";"0.682880517333333";"0.6901"
"Sub-adult recruitment";"0.3171194821";"0.3099"
"Fledgling recruitment";"0.451523383";"0.3374"
"Adult survival";"0.992352469";"0.9932"
"Fecundity";"0.629042651666667";"0.6157"
"Sub-adult survival";"0.682880517333333";"0.6721"
"Sub-adult recruitment";"0.3171194821";"0.3279"
"Fledgling recruitment";"0.451523383";"0.7424"
"Adult survival";"0.992352469";"0.9875"
"Fecundity";"0.629042651666667";"0.6203"
"Sub-adult survival";"0.682880517333333";"0.6819"
"Sub-adult recruitment";"0.3171194821";"0.3181"
"Fledgling recruitment";"0.451523383";"0.6826"
"Adult survival";"0.992352469";"0.9918"
"Fecundity";"0.629042651666667";"0.6112"
"Sub-adult survival";"0.682880517333333";"0.6912"
"Sub-adult recruitment";"0.3171194821";"0.3088"
"Fledgling recruitment";"0.451523383";"0.3934"
"Adult survival";"0.992352469";"0.9931"
"Fecundity";"0.629042651666667";"0.6286"
"Sub-adult survival";"0.682880517333333";"0.6645"
"Sub-adult recruitment";"0.3171194821";"0.3355"
"Fledgling recruitment";"0.451523383";"0.4157"
"Adult survival";"0.992352469";"0.9911"
"Fecundity";"0.629042651666667";"0.6273"
"Sub-adult survival";"0.682880517333333";"0.6286"
"Sub-adult recruitment";"0.3171194821";"0.3714"
"Fledgling recruitment";"0.451523383";"0.5432"
"Adult survival";"0.992352469";"0.9861"
"Fecundity";"0.629042651666667";"0.6316"
"Sub-adult survival";"0.682880517333333";"0.6919"
"Sub-adult recruitment";"0.3171194821";"0.3081"
"Fledgling recruitment";"0.451523383";"0.4223"
"Adult survival";"0.992352469";"0.9924"
"Fecundity";"0.629042651666667";"0.6272"
"Sub-adult survival";"0.682880517333333";"0.6593"
"Sub-adult recruitment";"0.3171194821";"0.3407"
"Fledgling recruitment";"0.451523383";"0.6371"
"Adult survival";"0.992352469";"0.9929"
"Fecundity";"0.629042651666667";"0.6123"
"Sub-adult survival";"0.682880517333333";"0.5977"
"Sub-adult recruitment";"0.3171194821";"0.4023"
"Fledgling recruitment";"0.451523383";"0.6385"
"Adult survival";"0.992352469";"0.9842"
"Fecundity";"0.629042651666667";"0.6493"
"Sub-adult survival";"0.682880517333333";"0.6561"
"Sub-adult recruitment";"0.3171194821";"0.3439"
"Fledgling recruitment";"0.451523383";"0.4704"
"Adult survival";"0.992352469";"0.9878"
"Fecundity";"0.629042651666667";"0.6376"
"Sub-adult survival";"0.682880517333333";"0.7560"
"Sub-adult recruitment";"0.3171194821";"0.2440"
"Fledgling recruitment";"0.451523383";"0.4842"
"Adult survival";"0.992352469";"0.9909"
"Fecundity";"0.629042651666667";"0.6453"
"Sub-adult survival";"0.682880517333333";"0.6520"
"Sub-adult recruitment";"0.3171194821";"0.3480"
