Iteration;Year;Type;Fledglings;Sub-adults;Adults
1;1979;Simulation;59;52;104
1;1980;Simulation;73;31;114
1;1981;Simulation;65;30;114
1;1982;Simulation;76;26;109
1;1983;Simulation;53;9;132
1;1984;Simulation;87;23;130
1;1985;Simulation;91;23;168
1;1986;Simulation;107;37;151
1;1987;Simulation;101;23;137
1;1988;Simulation;92;29;155
1;1989;Simulation;99;22;181
1;1990;Simulation;129;43;183
1;1991;Simulation;109;35;215
1;1992;Simulation;125;34;205
1;1993;Simulation;156;36;270
1;1994;Simulation;145;45;259
1;1995;Simulation;165;68;290
1;1996;Simulation;167;69;259
1;1997;Simulation;171;51;279
1;1998;Simulation;175;49;292
1;1999;Simulation;163;54;311
1;2000;Simulation;184;73;348
1;2001;Simulation;207;71;331
2;1979;Simulation;91;81;102
2;1980;Simulation;78;25;132
2;1981;Simulation;84;21;119
2;1982;Simulation;68;18;148
2;1983;Simulation;69;9;126
2;1984;Simulation;74;24;157
2;1985;Simulation;85;36;149
2;1986;Simulation;85;34;164
2;1987;Simulation;88;25;149
2;1988;Simulation;99;66;172
2;1989;Simulation;105;29;173
2;1990;Simulation;119;48;206
2;1991;Simulation;149;35;192
2;1992;Simulation;135;42;213
2;1993;Simulation;127;52;231
2;1994;Simulation;134;46;264
2;1995;Simulation;170;68;277
2;1996;Simulation;158;53;264
2;1997;Simulation;162;66;287
2;1998;Simulation;196;83;320
2;1999;Simulation;176;71;332
2;2000;Simulation;200;76;320
2;2001;Simulation;184;65;385
3;1979;Simulation;82;58;91
3;1980;Simulation;59;35;118
3;1981;Simulation;78;46;131
3;1982;Simulation;69;37;117
3;1983;Simulation;71;43;135
3;1984;Simulation;80;33;147
3;1985;Simulation;76;38;131
3;1986;Simulation;92;53;163
3;1987;Simulation;96;24;144
3;1988;Simulation;104;61;189
3;1989;Simulation;107;28;201
3;1990;Simulation;114;66;203
3;1991;Simulation;103;33;166
3;1992;Simulation;120;82;192
3;1993;Simulation;124;58;265
3;1994;Simulation;140;39;263
3;1995;Simulation;137;61;263
3;1996;Simulation;143;60;269
3;1997;Simulation;164;68;268
3;1998;Simulation;164;74;308
3;1999;Simulation;175;62;327
3;2000;Simulation;167;59;348
3;2001;Simulation;201;81;367
4;1979;Simulation;70;71;100
4;1980;Simulation;78;22;138
4;1981;Simulation;67;21;103
4;1982;Simulation;69;45;150
4;1983;Simulation;77;35;142
4;1984;Simulation;90;38;149
4;1985;Simulation;99;31;156
4;1986;Simulation;83;39;152
4;1987;Simulation;110;29;142
4;1988;Simulation;84;43;168
4;1989;Simulation;144;30;204
4;1990;Simulation;145;46;191
4;1991;Simulation;130;25;221
4;1992;Simulation;137;66;220
4;1993;Simulation;140;21;276
4;1994;Simulation;164;36;297
4;1995;Simulation;177;64;276
4;1996;Simulation;146;70;266
4;1997;Simulation;174;73;292
4;1998;Simulation;187;76;295
4;1999;Simulation;161;47;318
4;2000;Simulation;155;88;341
4;2001;Simulation;188;64;327
5;1979;Simulation;71;78;123
5;1980;Simulation;52;34;109
5;1981;Simulation;98;41;107
5;1982;Simulation;66;62;163
5;1983;Simulation;78;46;149
5;1984;Simulation;77;27;135
5;1985;Simulation;115;10;120
5;1986;Simulation;83;43;127
5;1987;Simulation;107;38;119
5;1988;Simulation;94;121;164
5;1989;Simulation;112;14;163
5;1990;Simulation;107;57;213
5;1991;Simulation;129;45;190
5;1992;Simulation;134;102;245
5;1993;Simulation;115;87;244
5;1994;Simulation;157;35;261
5;1995;Simulation;150;65;246
5;1996;Simulation;142;56;285
5;1997;Simulation;156;74;287
5;1998;Simulation;150;88;318
5;1999;Simulation;189;48;324
5;2000;Simulation;179;77;298
5;2001;Simulation;186;76;314
6;1979;Simulation;72;94;104
6;1980;Simulation;76;36;102
6;1981;Simulation;73;26;106
6;1982;Simulation;78;31;119
6;1983;Simulation;82;26;135
6;1984;Simulation;90;26;136
6;1985;Simulation;82;32;154
6;1986;Simulation;98;31;152
6;1987;Simulation;83;56;158
6;1988;Simulation;86;61;150
6;1989;Simulation;97;13;176
6;1990;Simulation;120;39;192
6;1991;Simulation;127;40;218
6;1992;Simulation;107;59;233
6;1993;Simulation;130;43;237
6;1994;Simulation;160;20;280
6;1995;Simulation;149;60;278
6;1996;Simulation;156;54;279
6;1997;Simulation;142;61;306
6;1998;Simulation;157;77;309
6;1999;Simulation;161;65;320
6;2000;Simulation;160;77;343
6;2001;Simulation;211;62;309
7;1979;Simulation;65;85;92
7;1980;Simulation;60;33;103
7;1981;Simulation;73;17;123
7;1982;Simulation;63;30;111
7;1983;Simulation;67;24;146
7;1984;Simulation;90;29;166
7;1985;Simulation;91;28;138
7;1986;Simulation;87;47;139
7;1987;Simulation;82;30;139
7;1988;Simulation;73;36;138
7;1989;Simulation;91;18;192
7;1990;Simulation;112;26;185
