Lower95;Median;Upper95;Mean;SD;Mode;MCerr;MC%ofSD;SSeff;AC.5000;psrf
Prior_Prob_DensDep;0.0334689;0.2607975;0.582616;0.279886510313333;0.153117789983622;NA;0.00408862962168144;2.7;1402;0.0100474158141015;1.08536300928221
Lef_F_DI;0.578861;0.626173;0.682004;0.629042651666667;0.02700688835928;NA;0.00154937435111217;5.7;304;0.177326787545242;1.01041101926069
Lef_F_DD;0.527059;0.57386;0.61991;0.571912337666667;0.0241751944883696;NA;0.00152424596445448;6.3;252;0.236068141688709;1.01537693476383
Lef_Gf_DI;0.282205;0.4140805;0.743943;0.451523383;0.123156801629344;NA;0.00686239226768513;5.6;322;0.190379393046004;1.02382094062603
Lef_Gf_DD;0.215916;0.3269225;0.408556;0.3192890141;0.0508301995070187;NA;0.00404728657385267;8;158;0.310903304883553;1.06981634004169
Lef_Ss_DI;0.526696;0.6848585;0.864426;0.682880517333333;0.083746445932281;NA;0.00492292340001247;5.9;289;0.176011367519038;1.00222403699452
Lef_Ss_DD;0.0013149;0.03624585;0.13099;0.04634316;0.0599234397359893;NA;0.0044131981877422;7.4;184;0.342601970648531;2.39941658870036
Lef_Gs_DI;0.135574;0.3151415;0.473304;0.3171194821;0.0837464477636109;NA;0.00492292347614974;5.9;289;0.17601136694262;1.00222403689192
Lef_Gs_DD;0.0245731;0.228682;0.366344;0.223179743253667;0.0812351012538798;NA;0.00481611211679745;5.9;285;0.210376186839271;1.00024139121541
Lef_Sa_DI;0.976995;0.9947605;0.999999;0.992352469;0.00765817088675984;NA;0.000186297918071421;2.4;1690;-0.0131980899052226;1.00029986706062
Lef_Sa_DD;0.945556;0.98229;0.999475;0.978400817333333;0.0161448572782629;NA;0.00067777456839868;4.2;567;0.133542129992255;0.999726475161129
var.fec;0.00580751;0.07375095;0.298738;0.105689479216667;0.0944188946028016;NA;0.00425267485771035;4.5;493;0.118473062091277;1.00208543531
var.fledrec;1.11651e-05;0.002148195;0.0333251;0.00729697443250333;0.0123890978405839;NA;0.000470949697977494;3.8;692;0.043316053254218;1.00346690258991
var.subrec;2.51395e-10;2.568315e-07;5.23051e-06;2.7587013188694e-05;0.000662413406677569;NA;1.24472624223477e-05;1.9;2832;0.00248101832362181;2.30907202143418
var.subsurv;1.50206e-11;0.0001172105;0.00380115;0.000788605791416094;0.00211408751272996;NA;4.49180866236224e-05;2.1;2215;0.0383613346351618;1.00009493448467
var.adsurv;0.621675;0.8585085;0.972;0.830486976;0.106000600580644;NA;0.00463957381471334;4.4;522;0.130346506755462;1.00229136681978
var.envstoc;0.00012834;0.0414347;0.157345;0.055675374777;0.0517135593635849;NA;0.00296462188425761;5.7;304;0.204678563531266;1.01039281899232
var.demstoc;4.61805e-08;2.644445e-05;9.31586e-05;3.49947529557e-05;3.04790549471535e-05;NA;5.76479616796016e-07;1.9;2795;0.00586758060456809;1.00169026666962
beta[1];2.24731e-08;0.000107452;0.00029963;0.000129106961345033;9.62675131179398e-05;NA;5.74379113396487e-06;6;281;0.171955832949287;1.00113116011677
beta[2];9.43907e-09;0.000284443;0.00246595;0.00061841535391019;0.000842467225630674;NA;5.6228608492146e-05;6.7;224;0.273218743532555;1.00466020332867
beta[3];1.50318e-05;0.0221728;0.402602;0.097780465103;0.133075973965757;NA;0.0140314241544537;10.5;90;0.694150038593111;2.48343282292725
beta[4];3.16591e-08;0.0004382825;0.0032469;0.00174101743679737;0.0163693473962957;NA;0.000381590516068312;2.3;1840;0.00483576987054204;1.00078471478777
beta[5];3.54409e-09;1.21546e-05;5.67443e-05;1.824688775883e-05;1.87860265021853e-05;NA;8.24530611169452e-07;4.4;519;0.111545394835525;1.00088400168097
Prob_DensDep[1];0;0;0;0.0163333333333333;0.12677504825415;0;0.00231458512192013;1.8;3000;-0.0168074568125051;1.03171783239887
Prob_DensDep[2];0;0;0;0.014;0.117510011776114;0;0.00222016622966229;1.9;2801;-0.0143666717021254;1.03040615930139
Prob_DensDep[3];0;0;1;0.466333333333333;0.498948432941856;0;0.0323626258582214;6.5;238;0.506928002765886;1.85413769209636
Prob_DensDep[4];0;0;0;0.0186666666666667;0.135367390210246;0;0.00252017607643299;1.9;2885;-0.0188958627434886;1.01613376580416
Prob_DensDep[5];0;0;0;0.0176666666666667;0.131758651846223;0;0.00240557285875488;1.8;3000;-0.00563723305903573;1.04254919989783
TransR;1.02779;1.03571;1.04377;1.03581661333333;0.00421266218734944;NA;0.000173875137605431;4.1;587;0.1035979297978;1.00714165302318
PredR;1.02526;1.03843;1.0526;1.03893229666667;0.00717643456248752;NA;0.000145498452521989;2;2433;0.011215555837171;1.00205120518645
delta[1];0.000112407;24.1541;88.672;32.3002017778137;29.0552271413904;NA;0.530473443959195;1.8;3000;0.0116699647426792;0.999751875371827
delta[2];4.93504e-06;26.99275;92.3398;35.0178196721921;30.7206016057354;NA;0.560878882653023;1.8;3000;0.00262896436697226;0.999890099342129
delta[3];2.85994e-06;26.06515;90.0482;34.0815690687475;29.7821101848409;NA;0.543744451944723;1.8;3000;-0.0103409606619729;1.00008945889756
Sigma[1,1];1.28171e-06;2.153585;45.649;9.3526721312149;19.7631177478541;NA;1.07711284227188;5.5;337;0.139887495931987;1.00116401548835
Sigma[2,1];-79.5454;-4.010475;43.9329;-11.8314161509892;30.5304417382323;NA;1.4776078510111;4.8;427;0.0894238636709212;1.00283057513446
Sigma[3,1];-28.7434;0.926326;92.373;13.5547328436456;35.7604483475112;NA;2.95197570508047;8.3;147;0.234477955381783;1.00810407127879
Sigma[1,2];-79.5454;-4.010475;43.9329;-11.8314161509892;30.5304417382323;NA;1.4776078510111;4.8;427;0.0894238636709212;1.00283057513446
Sigma[2,2];1.3943e-05;90.35315;354.118;125.201769966322;123.73152603223;NA;7.40731787197947;6;279;0.205569798235283;1.0203045412676
Sigma[3,2];-226.993;-8.876405;189.428;-16.5946203102343;103.877174315581;NA;10.7189640839141;10.3;94;0.544837986898755;1.00384087967555
Sigma[1,3];-28.7434;0.926326;92.373;13.5547328436456;35.7604483475112;NA;2.95197570508047;8.3;147;0.234477955381783;1.00810407127879
Sigma[2,3];-226.993;-8.876405;189.428;-16.5946203102343;103.877174315581;NA;10.7189640839141;10.3;94;0.544837986898755;1.00384087967555
Sigma[3,3];2.67897e-08;52.48755;260.807;80.6875310423177;97.4986031457131;NA;8.48919676467505;8.7;132;0.377475993941354;1.01190732951693
Corr[1,1];1;1;1;1;0;1;NA;NA;NA;NA;NA
Corr[2,1];-0.999134;-0.7407545;0.976087;-0.288498463003333;0.773258094133661;NA;0.0300201484113496;3.9;663;0.0482110366468138;0.999826732241395
Corr[3,1];-0.971696;0.573499;0.999007;0.209592285798667;0.776576185028431;NA;0.035314649380662;4.5;484;0.108348922814275;1.00234081076466
Corr[1,2];-0.999134;-0.7407545;0.976087;-0.288498463003333;0.773258094133661;NA;0.0300201484113496;3.9;663;0.0482110366468138;0.999826732241395
Corr[2,2];1;1;1;1;0;1;NA;NA;NA;NA;NA
Corr[3,2];-0.996437;-0.7113735;0.995168;-0.136843287936667;0.88573494094549;NA;0.146913319790588;16.6;36;0.672045925941579;1.00021918952567
Corr[1,3];-0.971696;0.573499;0.999007;0.209592285798667;0.776576185028431;NA;0.035314649380662;4.5;484;0.108348922814275;1.00234081076466
Corr[2,3];-0.996437;-0.7113735;0.995168;-0.136843287936667;0.88573494094549;NA;0.146913319790588;16.6;36;0.672045925941579;1.00021918952567
Corr[3,3];1;1;1;1;0;1;NA;NA;NA;NA;NA
n[1,1];56;72;89;72.3326666666667;8.54140804782026;73;0.158755952781085;1.9;2895;-0.0383167732145064;0.999870491592252
n[2,1];55.9694;64.4487;74.6623;64.7148032;4.77837668684218;NA;0.187276168647754;3.9;651;0.0458798274052064;1.00360755255732
n[3,1];63.6596;73.479;82.5683;73.5598716333333;4.78032072735196;NA;0.210030987067472;4.4;518;0.0868874715679419;1.00841358241036
n[4,1];65.3298;76.33825;85.7502;76.1833245333333;5.1555954772538;NA;0.278691581271934;5.4;342;0.183973328398644;1.00326652737517
n[5,1];69.9731;79.7577;89.7044;79.8675541666667;5.06438304199054;NA;0.352109302509248;7;207;0.274918746730101;1.0045798704257
n[6,1];78.1534;86.8495;96.5209;87.0262249333333;4.6485466441329;NA;0.211090196800494;4.5;485;0.115014497471211;1.00062222895803
n[7,1];82.0869;90.13735;98.6973;90.1908711666667;4.18564681133056;NA;0.16063395188806;3.8;679;0.0123459911136103;1.00730430014277
n[8,1];81.5786;91.5115;101.255;91.4319651;5.07814470569347;NA;0.313115661708601;6.2;263;0.243759477605239;1.00371265123999
n[9,1];82.1401;93.86905;105.008;93.4905382;5.90013506397425;NA;0.498759160430932;8.5;140;0.377623959558032;1.00378346458801
n[10,1];84.7262;97.0928;107.927;96.7520868333333;6.13017775892037;NA;0.423356641468388;6.9;210;0.352667094963174;1.00229973970746
n[11,1];94.0261;105.576;116.673;105.270253366667;5.79528503285841;NA;0.389521385560846;6.7;221;0.281143211291398;1.00517350527261
n[12,1];101.623;112.975;121.118;112.6504596;5.00659068854133;NA;0.2829521632997;5.7;313;0.196857805674443;1.00046913630191
n[13,1];110.389;119.7675;129.244;119.891861333333;4.80846676453594;NA;0.222711733808574;4.6;466;0.0904361562508619;1.00157596599328
n[14,1];114.998;126.9995;136.787;126.673594666667;5.49574999895876;NA;0.354415821327848;6.4;240;0.27233585819802;1.00045603746828
n[15,1];125.369;135.917;147.676;136.216937;5.86266412522891;NA;0.512361730289975;8.7;131;0.376902473031716;1.00168258651401
n[16,1];134.063;146.7195;159.661;147.249753666667;6.7625941311093;NA;0.604719214399954;8.9;125;0.400273956473199;1.00965391832589
n[17,1];142.139;153.2835;166.582;153.664405333333;6.40128431493752;NA;0.689243371799122;10.8;86;0.484896407568365;1.00185792007191
n[18,1];147.231;157.8195;168.946;158.066384666667;5.65011497916554;NA;0.436657263686453;7.7;167;0.3633899474657;1.00149743549192
n[19,1];155.585;164.507;174.757;164.776089;4.9169978579472;NA;0.248514459571781;5.1;391;0.154630887792735;1.01426068041283
n[20,1];160.394;170.1915;180.841;170.244499333333;5.1322894690769;NA;0.2814897199892;5.5;332;0.0966095109857347;1.01975017257703
n[21,1];166.071;177.767;189.463;178.018116333333;5.9914389696557;NA;0.479992842311195;8;156;0.335312935193761;1.01763106402794
n[22,1];174.211;185.55;197.504;185.742241333333;5.9431847132608;NA;0.389351841848197;6.6;233;0.289761620943889;1.02551062858454
n[23,1];177.275;190.7355;203.286;190.711925333333;6.7641641055719;NA;0.489311619820516;7.2;191;0.352859596505373;1.03020104701868
n[1,2];53;70;85;69.9596666666667;8.28502185178674;68;0.158215448007197;1.9;2742;0.00870056304812873;1.00111287543386
n[2,2];9.03281;32.4171;57.7738;32.9270521393333;11.7978011921652;NA;0.575370554312129;4.9;420;0.179391577368966;1.0792088488763
n[3,2];9.19634;29.56925;53.398;30.2859325343333;10.8324890205363;NA;0.508325114102066;4.7;454;0.142962180094048;1.02505869487153
n[4,2];14.1121;32.8138;58.4345;33.7837912246667;10.6862757330474;NA;0.394076391147818;3.7;735;0.0640405021806222;1.00133445525408
n[5,2];9.00978;30.78635;52.5583;30.992491213;10.6043508654357;NA;0.487419850719622;4.6;473;0.0870104587167983;1.00510386495403
n[6,2];17.2848;26.12905;35.3354;26.1323442333333;4.65999149000035;NA;0.123725457590108;2.7;1419;0.0241913284368909;1.00623458280471
n[7,2];10.2391;35.45415;56.8797;35.7247180633333;11.1538793098941;NA;0.637723407768771;5.7;306;0.161901295576603;1.00234761589997
n[8,2];14.8391;37.1386;64.5076;38.0162068676667;12.0761273236389;NA;0.66060126819889;5.5;334;0.191067730902032;1.01093761343568
n[9,2];25.4039;35.2336;45.8744;35.4910713;5.17901174185131;NA;0.181171250132607;3.5;817;0.0868030969875688;1.00279997128035
n[10,2];21.5497;42.06765;75.2176;44.8198555686667;13.9207707369605;NA;1.12626356219734;8.1;153;0.368405543751787;1.00578424824305
n[11,2];14.9817;25.46465;37.9486;25.9635727333333;5.94832716623944;NA;0.225098725150879;3.8;698;0.0360355022513779;0.999897360285756
n[12,2];17.5545;42.8879;77.4501;45.5501390066667;14.873954702405;NA;1.45874681155898;9.8;104;0.414965082960227;1.00867229993773
n[13,2];22.8;33.9825;44.7866;34.0882825666667;5.76475211429591;NA;0.177716632338029;3.1;1052;0.0116247279446429;0.999891023667106
n[14,2];20.0077;47.93495;85.8836;50.6848447033333;16.8357820240237;NA;1.61116546448701;9.6;109;0.464564361400267;1.00369378740149
n[15,2];19.0218;47.5683;79.7583;49.4986502153333;14.875474275069;NA;1.32145870517191;8.9;127;0.412518851426626;1.00622237477554
n[16,2];32.0857;43.4576;53.7706;43.4474589333333;5.80455764412255;NA;0.176771663288862;3;1078;0.0460271537647865;1.00005743456518
n[17,2];46.3062;57.90935;70.2033;58.3454246666667;6.26937588521231;NA;0.208903487922809;3.3;901;0.0176525925629537;1.00445465746436
n[18,2];50.905;62.57335;75.0586;63.0903434;6.42968910071711;NA;0.231743550143064;3.6;770;0.0581024232158039;1.00164242722012
n[19,2];51.3875;63.1341;75.1954;63.4471997;6.2651256420091;NA;0.201297289648384;3.2;969;0.018121774866174;1.0081022591925
