"Stage";"Period";"Year";"Lower95";"Estimated";"Upper95";"Observed";"BSE cases"
"Fledglings";"Pre-BSE";1980;55.9694;64.4487;74.6623;75;0
"Fledglings";"Pre-BSE";1981;63.6596;73.479;82.5683;73;0
"Fledglings";"Pre-BSE";1982;65.3298;76.33825;85.7502;73;0
"Fledglings";"Pre-BSE";1983;69.9731;79.7577;89.7044;77;0
"Fledglings";"Pre-BSE";1984;78.1534;86.8495;96.5209;100;0
"Fledglings";"Pre-BSE";1985;82.0869;90.13735;98.6973;92;0
"Fledglings";"Pre-BSE";1986;81.5786;91.5115;101.255;99;0
"Fledglings";"Pre-BSE";1987;82.1401;93.86905;105.008;90;0
"Fledglings";"Pre-BSE";1988;84.7262;97.0928;107.927;94;0
"Fledglings";"Pre-BSE";1989;94.0261;105.576;116.673;102;0
"Fledglings";"Pre-BSE";1990;101.623;112.975;121.118;116;0
"Fledglings";"Pre-BSE";1991;110.389;119.7675;129.244;124;0
"Fledglings";"Pre-BSE";1992;114.998;126.9995;136.787;112;0
"Fledglings";"Pre-BSE";1993;125.369;135.917;147.676;153;0
"Fledglings";"Pre-BSE";1994;134.063;146.7195;159.661;157;0
"Fledglings";"Pre-BSE";1995;142.139;153.2835;166.582;134;0
"Fledglings";"Pre-BSE";1996;147.231;157.8195;168.946;157;0
"Fledglings";"Pre-BSE";1997;155.585;164.507;174.757;167;0
"Fledglings";"Pre-BSE";1998;160.394;170.1915;180.841;167;0
"Fledglings";"Pre-BSE";1999;166.071;177.767;189.463;182;0
"Fledglings";"Pre-BSE";2000;174.211;185.55;197.504;177;2
"Fledglings";"Pre-BSE";2001;177.275;190.7355;203.286;194;83
"Sub-adults";"Pre-BSE";1980;9.03281;32.4171;57.7738;;0
"Sub-adults";"Pre-BSE";1981;9.19634;29.56925;53.398;;0
"Sub-adults";"Pre-BSE";1982;14.1121;32.8138;58.4345;;0
"Sub-adults";"Pre-BSE";1983;9.00978;30.78635;52.5583;;0
"Sub-adults";"Pre-BSE";1984;17.2848;26.12905;35.3354;23;0
"Sub-adults";"Pre-BSE";1985;10.2391;35.45415;56.8797;;0
"Sub-adults";"Pre-BSE";1986;14.8391;37.1386;64.5076;;0
"Sub-adults";"Pre-BSE";1987;25.4039;35.2336;45.8744;31;0
"Sub-adults";"Pre-BSE";1988;21.5497;42.06765;75.2176;;0
"Sub-adults";"Pre-BSE";1989;14.9817;25.46465;37.9486;18;0
"Sub-adults";"Pre-BSE";1990;17.5545;42.8879;77.4501;;0
"Sub-adults";"Pre-BSE";1991;22.8;33.9825;44.7866;26;0
"Sub-adults";"Pre-BSE";1992;20.0077;47.93495;85.8836;;0
"Sub-adults";"Pre-BSE";1993;19.0218;47.5683;79.7583;;0
"Sub-adults";"Pre-BSE";1994;32.0857;43.4576;53.7706;38;0
"Sub-adults";"Pre-BSE";1995;46.3062;57.90935;70.2033;61;0
"Sub-adults";"Pre-BSE";1996;50.905;62.57335;75.0586;70;0
"Sub-adults";"Pre-BSE";1997;51.3875;63.1341;75.1954;69;0
"Sub-adults";"Pre-BSE";1998;57.6633;69.8043;85.4643;81;0
"Sub-adults";"Pre-BSE";1999;45.192;57.6903;69.0074;55;0
"Sub-adults";"Pre-BSE";2000;55.5253;67.4646;80.4121;71;2
"Sub-adults";"Pre-BSE";2001;53.4667;65.458;78.1005;64;83
"Adults";"Pre-BSE";1980;105.395;120.5225;138.883;;0
"Adults";"Pre-BSE";1981;107.952;125.8365;141.83;;0
"Adults";"Pre-BSE";1982;111.974;130.7745;149.093;;0
"Adults";"Pre-BSE";1983;125.281;140.8125;157.836;;0
"Adults";"Pre-BSE";1984;135.711;148.622;161.814;147;0
"Adults";"Pre-BSE";1985;135.473;151.413;166.752;;0
"Adults";"Pre-BSE";1986;135.044;155.1125;170.924;;0
"Adults";"Pre-BSE";1987;142.204;161.1595;177.432;143;0
"Adults";"Pre-BSE";1988;147.769;172.8;188.777;;0
